Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
bsgarciac,,,Bogota-Hack-0-2017,,,bsgarciac,,,320.83,,,94.12,,,5th Phase,,
camilo13152,,,Bogota-Hack-0-2017,,,camilo13152,,,222.5,,,70.59,,,5th Phase,,
camilo654,,,Bogota-Hack-0-2017,,,camilo654,,,199.17,,,62.75,,,5th Phase,,
cap182,,,Bogota-Hack-0-2017,,,cap182,,,49.17,,,31.37,,,5th Phase,,
capinillab,,,Bogota-Hack-0-2017,,,capinillab,,,264.17,,,84.31,,,5th Phase,,
cdcordobaa,,,Bogota-Hack-0-2017,,,cdcordobaa,,,190.83,,,56.86,,,5th Phase,,
CristianLozano,,,Bogota-Hack-0-2017,,,CristianLozano,,,90.83,,,41.18,,,5th Phase,,
fffeelipe,,,Bogota-Hack-0-2017,,,fffeelipe,,,199.17,,,62.75,,,5th Phase,,
jdsuarezj,,,Bogota-Hack-0-2017,,,jdsuarezj,,,272.5,,,86.27,,,5th Phase,,
jmcuestasb,,,Bogota-Hack-0-2017,,,jmcuestasb,,,254.17,,,78.43,,,5th Phase,,
JoseMolano,,,Bogota-Hack-0-2017,,,JoseMolano,,,276.67,,,88.24,,,5th Phase,,
juandavidro,,,Bogota-Hack-0-2017,,,juandavidro,,,153.33,,,50.98,,,5th Phase,,
juanescai,,,Bogota-Hack-0-2017,,,juanescai,,,50,,,33.33,,,5th Phase,,
leavendanoro,,,Bogota-Hack-0-2017,,,leavendanoro,,,206.67,,,66.67,,,5th Phase,,
lfvalderrama,,,Bogota-Hack-0-2017,,,lfvalderrama,,,352.92,,,98.04,,,5th Phase,,
maikellPardoA,,,Bogota-Hack-0-2017,,,maikellPardoA,,,87.5,,,37.25,,,5th Phase,,
mnguzmanc,,,Bogota-Hack-0-2017,,,mnguzmanc,,,290,,,90.2,,,5th Phase,,
Moimolcp,,,Bogota-Hack-0-2017,,,Moimolcp,,,304.17,,,92.16,,,5th Phase,,
NicolasZon,,,Bogota-Hack-0-2017,,,NicolasZon,,,87.5,,,37.25,,,5th Phase,,
pcberriop,,,Bogota-Hack-0-2017,,,pcberriop,,,195,,,58.82,,,5th Phase,,
pipemax85,,,Bogota-Hack-0-2017,,,pipemax85,,,115.83,,,47.06,,,5th Phase,,
sacastroc,,,Bogota-Hack-0-2017,,,sacastroc,,,226.25,,,72.55,,,5th Phase,,
UNhcrodriguezl,,,Bogota-Hack-0-2017,,,UNhcrodriguezl,,,263.33,,,82.35,,,5th Phase,,