Student,,,Total Score,,
fabianr23,,,358.33,,
Davsatu313,,,320.83,,
jhriverasa,,,312.5,,
joaortizro,,,305,,
juasmartinezbel,,,293.33,,
cesarochoa2006,,,276.67,,
Yelis3,,,268.33,,
JuanitoAli,,,255,,
kmendezp96,,,235.83,,
kancas,,,230.83,,
Gantiva,,,229.17,,
raulramirezp,,,223.33,,
ykchautai,,,195,,
begarzonf,,,174.17,,
idrojasf,,,155.83,,
jhonsd1996,,,153.33,,
leguzman,,,150,,
sagilm,,,145.83,,
luealfonsoru,,,145.83,,
Dandarprox,,,135.83,,
mdbelloc,,,133.33,,
JulianaNino,,,124.17,,
oserasoa,,,124.17,,
ligibrial,,,120.83,,
luegilca,,,120.83,,
jusherrerama,,,120,,
diegocruz10,,,111.67,,
davidrh195,,,107.5,,
HashNick,,,103.33,,
jucjimenezmo,,,100.33,,
debeltranc,,,100,,
lsfinite,,,100,,
bdvegat,,,95,,
Phoenixest,,,95,,
jjmuesesq,,,79.17,,
xdanielsb,,,75,,
crarojasca,,,45,,
ccvacad,,,0,,
CSebasGomez,,,0,,
tres-iqus,,,0,,
jhcardenasa,,,0,,