,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum,phase1-clicks-count,phase2-clicks-count,phase3-clicks-count,phase4-clicks-count,sum-clicks-count,project-clicks-count,score-clicks-count,sum-add-loc,project-clicks-hacker,unique_apps
0,fffeelipe,0,20,29.17,50,199.17,100,100,20,29.17,43.75,192.92,75,60,37.5,0,172.5,75,60,37.5,0,172.5,50,20,29.17,0,99.17,40,0,-40,0,0,-40,8.33,0,-8.33,0,0,-8.33,0,0,43.75,6.25,50,50,25,0,25,0,25,50,73.33,0,20.42,6.25,100,26.67,0,0,50,50,0,0,0,92,249,18,0,0,0,87,202,17,78,168,6,0,0,0,165,0,0,0,5,5,5,,165,9,5
1,mnguzmanc,0,60,75,67.5,290,87.5,87.5,20,37.5,100,245,100,20,41.67,75,236.67,87.5,20,37.5,75,220,87.5,0,0,0,87.5,20,0,0,40,60,40,37.5,4.17,-4.17,37.5,75,37.5,75,0,25,-32.5,67.5,-7.5,0,12.5,-12.5,0,0,0,132.5,16.67,8.33,45,202.5,70,60,75,67.5,0,6,14,2,43,144,3,31,95,1,65,39,2,81,136,2,51,144,2,183,4,0,0,22,26,23,,183,11,15
2,jmcuestasb,0,100,54.17,25,254.17,75,62.5,100,58.33,0,220.83,62.5,20,50,0,132.5,62.5,20,33.33,25,140.83,50,0,0,0,50,20,0,80,0,100,80,33.33,16.67,8.33,-4.16,54.17,20.84,25,-25,0,25,25,0,12.5,0,0,12.5,12.5,25,90.83,-8.33,88.33,33.34,204.17,113.34,100,54.17,25,25,7,0,7,7,0,7,6,9,1,9,0,1,9,26,1,5,34,1,31,4,0,0,0,4,2,,31,7,1
3,katherinsb,0,20,37.5,16.67,136.67,62.5,37.5,20,45.83,25,128.33,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,20,0,20,20,0,0,45.83,-8.33,37.5,37.5,0,0,25,-8.33,16.67,16.67,12.5,-12.5,37.5,25,50,62.5,12.5,-12.5,128.33,8.34,136.67,124.17,20,37.5,16.67,62.5,0,0,0,0,0,6,0,0,0,0,0,4,259,371,3,0,0,6,259,0,0,0,0,0,,,259,10,
4,jjrodriguezn,0,60,58.33,87.5,255.83,50,37.5,40,54.17,0,131.67,37.5,20,45.83,0,103.33,62.5,20,29.17,0,111.67,0,0,0,0,0,20,0,20,20,60,40,29.17,16.66,8.34,4.16,58.33,29.16,0,0,0,87.5,87.5,87.5,62.5,-25,0,12.5,-12.5,50,111.67,-8.34,28.34,124.16,255.83,144.16,60,58.33,87.5,50,104,0,1,0,0,9,57,98,1,67,13,2,4,7,4,59,49,5,232,1,0,0,0,1,1,,232,8,1
5,DglyP,0,20,25,50,195,100,87.5,0,25,50,162.5,50,40,50,0,140,37.5,40,45.83,0,123.33,0,0,0,0,0,40,0,-40,20,20,-20,45.83,4.17,-25,0,25,-20.83,0,0,50,0,50,50,37.5,12.5,37.5,12.5,62.5,100,123.33,16.67,22.5,32.5,195,71.67,20,25,50,100,54,65,1,47,156,8,0,0,0,15,52,10,31,56,2,0,0,0,100,0,30,0,9,39,34,,100,9,28
6,cap182,0,20,29.17,0,49.17,0,0,20,29.17,0,49.17,0,20,29.17,0,49.17,12.5,0,20.83,0,33.33,0,40,33.33,75,148.33,-40,20,0,0,-20,20,-12.5,8.34,0,0,-4.16,8.34,-75,0,0,0,-75,0,12.5,-12.5,0,0,-12.5,0,-115,15.84,0,0,-99.16,15.84,-20,-4.16,-75,0,9,97,5,0,0,0,0,0,0,0,0,0,0,0,0,82,167,4,9,0,0,0,0,0,,,9,9,
7,annumumozme,0,40,37.5,60,237.5,100,75,0,0,0,0,62.5,0,0,0,0,37.5,20,45.83,0,103.33,37.5,0,0,0,37.5,20,-20,0,40,40,20,45.83,-45.83,0,37.5,37.5,-8.33,0,0,0,60,60,60,0,25,12.5,25,62.5,62.5,65.83,-103.33,0,237.5,200,134.17,40,37.5,60,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,
8,Judgarciani,0,100,58.33,66.67,325,100,75,80,87.5,0,242.5,62.5,80,79.17,0,221.67,37.5,20,29.17,0,86.67,0,0,0,0,0,20,60,0,20,100,80,29.17,50,8.33,-29.17,58.33,29.16,0,0,0,66.67,66.67,66.67,37.5,25,12.5,25,62.5,100,86.67,135,20.83,82.5,325,238.33,100,58.33,66.67,100,23,85,2,13,24,4,4,0,3,130,172,2,31,45,2,13,24,3,188,7,10,0,2,19,16,,188,11,12
9,sacastroc,0,20,50,68.75,226.25,87.5,87.5,20,50,62.5,220,100,20,33.33,62.5,215.83,87.5,20,33.33,62.5,203.33,50,0,25,0,75,20,0,0,0,20,0,8.33,0,16.67,0,25,16.67,62.5,0,0,6.25,68.75,6.25,37.5,12.5,-12.5,0,0,37.5,128.33,12.5,4.17,6.25,151.25,22.92,20,25,68.75,37.5,5,10,1,8,15,7,1,0,7,39,52,2,6,11,1,3,5,7,51,3,0,0,49,52,47,,51,7,39
10,pcberriop,0,20,37.5,62.5,195,75,50,20,33.33,62.5,165.83,50,20,33.33,62.5,165.83,50,20,33.33,62.5,165.83,12.5,40,25,0,77.5,-20,0,0,0,-20,0,8.33,0,0,4.17,12.5,4.17,62.5,0,0,0,62.5,0,37.5,0,0,25,25,62.5,88.33,0,0,29.17,117.5,29.17,-20,12.5,62.5,62.5,3,1,1,4,2,2,2,0,2,0,0,0,2,0,1,1,1,2,7,0,0,0,17,17,15,,7,9,14
11,hsmartineza,0,20,33.33,52.5,180.83,75,62.5,20,37.5,56.25,176.25,50,60,45.83,75,230.83,37.5,20,29.17,0,86.67,0,0,0,0,0,20,40,-40,0,20,0,29.17,16.66,-8.33,-4.17,33.33,4.16,0,75,-18.75,-3.75,52.5,52.5,37.5,12.5,12.5,12.5,37.5,75,86.67,144.16,-54.58,4.58,180.83,94.16,20,33.33,52.5,75,2,7,2,36,158,7,30,63,1,29,66,6,10,13,2,11,9,1,71,4,0,0,0,4,2,,71,9,1
12,Moimolcp,0,100,62.5,66.67,304.17,75,62.5,0,33.33,25,120.83,62.5,20,62.5,25,170,62.5,0,33.33,25,120.83,25,0,0,0,25,0,20,-20,100,100,100,33.33,29.17,-29.17,29.17,62.5,29.17,25,0,0,41.67,66.67,41.67,37.5,0,0,12.5,12.5,50,95.83,49.17,-49.17,183.34,279.17,183.34,100,62.5,66.67,50,0,0,0,41,105,2,15,42,2,20,31,1,36,62,2,41,105,2,71,0,53,0,1,54,51,,71,11,39
13,CamiloRueda,0,0,29.17,0,54.17,25,25,20,25,0,70,25,0,25,0,50,37.5,0,25,0,62.5,0,0,0,0,0,0,0,20,-20,0,0,25,0,0,4.17,29.17,4.17,0,0,0,0,0,0,37.5,-12.5,0,0,-12.5,25,62.5,-12.5,20,-15.83,54.17,-8.33,0,29.17,0,25,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,10,
14,juanescai,0,0,25,25,50,0,0,0,25,25,50,0,20,41.67,0,61.67,12.5,0,25,25,62.5,25,0,25,62.5,112.5,0,20,-20,0,0,0,0,16.67,-16.67,0,0,0,-37.5,-25,25,0,-37.5,0,-12.5,-12.5,0,0,-12.5,-25,-50,-0.83,-11.67,0,-62.5,-12.5,0,0,-37.5,-25,0,0,1,0,0,4,0,0,1,0,0,1,0,0,1,0,0,3,0,7,0,0,16,23,18,,0,11,11
15,JoseMolano,0,60,66.67,75,276.67,75,87.5,0,58.33,70.83,216.67,87.5,60,41.67,100,289.17,87.5,0,33.33,25,145.83,87.5,20,50,37.5,195,-20,60,-60,60,40,60,-16.67,8.34,16.66,8.34,16.67,33.34,-12.5,75,-29.17,4.17,37.5,50,0,0,0,-12.5,-12.5,-12.5,-49.17,143.34,-72.5,60,81.67,130.84,40,16.67,37.5,-12.5,19,79,4,19,56,7,3,2,5,1,2,1,26,3,1,27,4,5,49,2,0,0,8,10,9,,49,7,9
16,maikellPardoA,0,0,37.5,25,87.5,25,25,0,0,0,25,25,0,33.33,25,83.33,37.5,0,25,25,87.5,37.5,0,25,25,87.5,0,0,0,0,0,0,0,8.33,-33.33,37.5,12.5,12.5,0,0,-25,25,0,0,0,-12.5,0,0,-12.5,-12.5,0,-4.17,-58.33,62.5,0,0,0,12.5,0,-12.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,0,7,
17,NicolasZon,0,0,25,25,87.5,37.5,37.5,0,25,25,87.5,37.5,0,25,25,87.5,50,0,25,25,100,12.5,0,0,0,12.5,0,0,0,0,0,0,25,0,0,0,25,0,25,0,0,0,25,0,37.5,-12.5,0,0,-12.5,25,87.5,-12.5,0,0,75,-12.5,0,25,25,25,3,7,2,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,1,,3,5,1
18,camilo654,0,20,29.17,75,199.17,75,75,60,33.33,75,243.33,50,20,29.17,62.5,161.67,62.5,20,25,87.5,195,25,20,29.17,0,74.17,0,0,40,-40,0,0,-4.17,4.17,4.16,-4.16,0,4.17,87.5,-25,12.5,0,75,-12.5,37.5,-12.5,25,0,12.5,50,120.83,-33.33,81.66,-44.16,125,4.17,0,0,75,50,0,0,20,55,77,5,0,0,0,60,115,6,2,2,2,28,50,3,62,0,0,0,0,0,,,62,11,
19,CristianLozano,0,20,33.33,0,90.83,37.5,37.5,60,50,0,147.5,37.5,20,29.17,0,86.67,50,20,33.33,0,103.33,50,20,29.17,0,99.17,0,0,40,-40,0,0,4.16,-4.16,20.83,-16.67,4.16,0,0,0,0,0,0,0,0,-12.5,0,0,-12.5,-12.5,4.16,-16.66,60.83,-56.67,-8.34,-12.5,0,4.16,0,-12.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,0,7,1
20,jdsuarezj,0,60,50,87.5,272.5,75,75,60,66.67,75,276.67,75,60,58.33,100,293.33,75,0,25,25,125,62.5,0,25,75,162.5,0,60,0,0,60,60,0,33.33,8.34,-16.67,25,25,-50,75,-25,12.5,12.5,62.5,12.5,0,0,0,0,12.5,-37.5,168.33,-16.66,-4.17,110,147.5,60,25,12.5,12.5,173,442,3,36,85,11,74,116,10,0,0,0,0,0,0,328,253,4,247,7,36,0,6,49,43,,247,12,27
21,pipemax85,0,20,33.33,0,115.83,62.5,50,20,33.33,0,103.33,50,20,33.33,0,103.33,50,20,33.33,0,103.33,50,20,25,0,95,0,0,0,0,0,0,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,12.5,12.5,12.5,8.33,0,0,12.5,20.83,12.5,0,8.33,0,12.5,31,58,2,31,58,2,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,0,0,8,4,,31,10,1
22,juandavidro,0,20,58.33,25,153.33,50,37.5,20,54.17,0,111.67,37.5,80,58.33,0,175.83,50,20,33.33,25,128.33,87.5,80,58.33,75,300.83,-60,60,-60,0,-60,0,-25,25,-4.16,4.16,0,25,-50,-25,0,25,-50,0,-37.5,-12.5,0,12.5,0,-37.5,-172.5,47.5,-64.16,41.66,-147.5,25,-60,0,-50,-37.5,127,122,1,292,35,2,318,65,2,32,33,1,0,0,0,314,62,2,477,0,0,0,0,0,,,477,7,
23,UNhcrodriguezl,0,80,33.33,75,263.33,75,75,20,41.67,79.17,215.83,75,20,33.33,62.5,190.83,75,20,33.33,62.5,190.83,37.5,20,33.33,0,90.83,0,0,0,60,60,60,0,0,8.34,-8.34,0,0,62.5,0,16.67,-4.17,75,12.5,37.5,0,0,0,0,37.5,100,0,25,47.5,172.5,72.5,60,0,75,37.5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,4,11,0,0,15,14,,0,11,11
24,camilo13152,0,60,50,37.5,222.5,75,62.5,60,45.83,75,243.33,50,60,33.33,75,218.33,50,20,33.33,0,103.33,0,0,29.17,0,29.17,20,40,0,0,60,40,4.16,0,12.5,4.17,20.83,16.67,0,75,0,-37.5,37.5,37.5,50,0,12.5,12.5,25,75,74.16,115,25,-20.83,193.33,119.17,60,20.83,37.5,75,0,0,7,0,0,21,21,38,2,12,21,3,5,1,1,0,0,0,38,0,0,0,11,11,9,,38,8,9
25,leavendanoro,0,40,66.67,25,206.67,75,75,0,25,25,125,62.5,0,25,25,112.5,62.5,0,25,25,112.5,37.5,0,0,0,37.5,0,0,0,40,40,40,25,0,0,41.67,66.67,41.67,25,0,0,0,25,0,25,0,12.5,0,12.5,37.5,75,0,12.5,81.67,169.17,94.17,40,66.67,25,37.5,8,54,2,17,38,4,52,21,3,3,0,1,1,4,1,52,27,3,64,1,0,0,2,3,3,,64,8,3
26,cdcordobaa,0,20,33.33,62.5,190.83,75,75,20,33.33,62.5,190.83,75,20,33.33,62.5,190.83,75,20,33.33,62.5,190.83,37.5,20,33.33,0,90.83,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,62.5,0,37.5,0,0,0,0,37.5,100,0,0,0,100,0,0,0,62.5,37.5,0,0,0,3,41,1,0,0,0,1,1,1,0,0,0,19,54,2,1,0,0,0,0,0,,,1,6,
27,capinillab,0,60,54.17,75,264.17,75,62.5,60,54.17,75,251.67,62.5,60,41.67,62.5,226.67,62.5,60,37.5,87.5,247.5,62.5,20,33.33,0,115.83,40,0,0,0,40,0,4.17,4.17,12.5,0,20.84,16.67,87.5,-25,12.5,0,75,-12.5,0,0,0,12.5,12.5,12.5,131.67,-20.83,25,12.5,148.34,16.67,40,20.84,75,12.5,0,0,0,23,196,5,0,0,0,53,109,4,102,131,3,7,59,4,155,0,0,0,0,0,,,155,9,
28,Januguerab,0,20,29.17,0,111.67,62.5,50,20,29.17,0,99.17,50,20,29.17,0,99.17,37.5,20,29.17,0,86.67,0,0,0,0,0,20,0,0,0,20,0,29.17,0,0,0,29.17,0,0,0,0,0,0,0,37.5,12.5,0,12.5,25,62.5,86.67,12.5,0,12.5,111.67,25,20,29.17,0,62.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,
29,lfvalderrama,0,80,66.67,106.25,352.92,100,87.5,20,50,50,207.5,87.5,40,54.17,68.75,250.42,75,0,41.67,25,141.67,75,0,0,0,75,0,40,-20,60,80,80,41.67,12.5,-4.17,16.67,66.67,25,25,43.75,-18.75,56.25,106.25,81.25,0,12.5,0,12.5,25,25,66.67,108.75,-42.92,145.42,277.92,211.25,80,66.67,106.25,25,5,14,2,8,11,6,131,20,2,1,1,6,2,5,2,5,7,6,139,3,2,0,3,8,7,,139,8,5
30,bsgarciac,0,100,70.83,75,320.83,100,75,80,70.83,87.5,313.33,75,60,50,87.5,272.5,62.5,40,41.67,87.5,231.67,50,20,37.5,0,107.5,20,20,20,20,80,60,4.17,8.33,20.83,0,33.33,29.16,87.5,0,0,-12.5,75,-12.5,12.5,12.5,0,25,37.5,50,124.17,40.83,40.83,7.5,213.33,89.16,80,33.33,75,50,14,9,2,0,0,8,0,0,7,121,1279,5,69,105,6,47,74,6,204,1,0,0,8,9,8,,204,10,8
31,gabi04,0,20,29.17,58.33,157.5,50,25,20,29.17,0,74.17,25,20,29.17,0,74.17,37.5,0,25,0,62.5,0,0,0,0,0,0,20,0,0,20,20,25,4.17,0,0,29.17,4.17,0,0,0,58.33,58.33,58.33,37.5,-12.5,0,25,12.5,50,62.5,11.67,0,83.33,157.5,95,20,29.17,58.33,50,5,16,2,0,0,8,0,0,1,0,0,0,0,0,1,25,97,2,5,0,0,0,3,3,3,,5,7,3
32,annipi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,26,4,0,0,0,0,3,3,3,,0,6,3
33,jdsolanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,62.5,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,-12.5,0,0,-12.5,-62.5,-50,-12.5,0,0,-62.5,-12.5,0,0,0,-62.5,2,19,5,0,0,0,0,0,0,0,0,0,0,0,0,74,116,10,2,0,0,0,0,0,,,2,13,
34,jcneivaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,1,8,
35,fmbernalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,0,9,
36,MogGy94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5,0,0,-12.5,-12.5,0,-12.5,0,0,-12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,7,
37,yocuervoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,10,
38,odprietoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,25,25,62.5,0,0,25,0,25,0,0,0,0,0,0,0,-25,0,0,-25,-25,25,-25,0,0,0,-25,12.5,-12.5,0,0,-12.5,0,37.5,-62.5,0,0,-25,-62.5,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,9,
39,gasierram,1,40,62.5,25,190,62.5,62.5,40,58.33,0,160.83,62.5,20,50,0,132.5,62.5,20,33.33,25,140.83,62.5,20,50,62.5,195,0,0,20,0,20,20,-16.67,16.67,8.33,4.17,12.5,29.17,-37.5,-25,0,25,-37.5,0,0,0,0,0,0,0,-54.17,-8.33,28.33,29.17,-5,49.17,20,12.5,-37.5,0,3,3,1,8,62,2,2,53,1,3,4,1,3,3,1,6,23,5,11,101,18,0,0,119,15,104,11,13,4
41,bdcajicam,1,40,29.17,62.5,206.67,75,62.5,20,29.17,62.5,174.17,50,20,25,62.5,157.5,50,20,25,0,95,25,0,0,0,25,20,0,0,20,40,20,25,0,4.17,0,29.17,4.17,0,62.5,0,0,62.5,62.5,25,0,12.5,12.5,25,50,70,62.5,16.67,32.5,181.67,111.67,40,29.17,62.5,50,0,0,0,39,26,4,39,26,4,0,0,0,0,0,0,25,50,3,39,22,0,0,0,22,1,21,39,12,1
42,andfsanchezlem,1,20,25,0,45,0,0,20,25,0,45,0,20,25,0,45,12.5,20,25,0,57.5,25,20,25,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5,-12.5,0,0,-12.5,-25,-12.5,-12.5,0,0,-25,-12.5,0,0,0,-25,0,0,0,4,50,1,0,0,0,4,49,2,0,0,0,40,47,3,4,0,17,0,47,64,4,60,4,129,4
43,dfhincapiem,1,20,25,25,107.5,37.5,37.5,20,50,0,107.5,37.5,20,50,0,107.5,50,20,58.33,0,128.33,0,0,0,0,0,20,0,0,0,20,0,58.33,-8.33,0,-25,25,-33.33,0,0,0,25,25,25,50,-12.5,0,0,-12.5,37.5,128.33,-20.83,0,0,107.5,-20.83,20,25,25,37.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,87,10,0,34,0,1,0,35,5,30,0,8,3
44,helmeraac,1,0,25,0,87.5,62.5,37.5,20,29.17,0,86.67,25,0,29.17,0,54.17,37.5,0,25,87.5,150,25,20,25,0,70,-20,0,20,-20,-20,0,0,4.17,0,-4.17,0,0,87.5,-87.5,0,0,0,-87.5,12.5,-12.5,12.5,25,25,37.5,80,-95.83,32.5,0.83,17.5,-62.5,-20,0,0,37.5,3,5,1,7,12,2,0,0,0,5,6,2,3,5,1,54,127,6,11,2,0,1,0,3,1,2,11,15,1
45,dasalgadob,1,0,25,25,100,50,50,100,75,0,225,50,0,0,0,50,50,0,25,0,75,50,0,25,25,100,0,0,100,-100,0,0,0,-25,75,-50,0,0,-25,0,0,25,0,25,0,0,0,0,0,0,-25,-25,175,-125,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,700,5,0,9,0,19,0,28,5,23,0,17,4
46,falperezgo,1,20,45.83,62.5,228.33,100,100,40,62.5,75,277.5,100,80,58.33,100,338.33,100,80,62.5,87.5,330,75,40,66.67,75,256.67,40,0,-40,-20,-20,-60,-4.17,-4.17,4.17,-16.67,-20.84,-16.67,12.5,12.5,-25,-12.5,-12.5,-25,25,0,0,0,0,25,73.33,8.33,-60.83,-49.17,-28.34,-101.67,-20,-20.84,-12.5,25,49,346,4,111,151,7,0,0,0,141,40,4,49,346,4,0,0,0,239,49,23,2,0,74,5,69,239,20,4
47,djguzmanc,1,80,79.17,100,334.17,75,62.5,60,79.17,90.63,292.29,62.5,80,62.5,100,305,62.5,60,62.5,81.25,266.25,62.5,60,70.83,87.5,280.83,0,20,-20,20,20,20,-8.33,0,16.67,0,8.34,16.67,-6.25,18.75,-9.37,9.37,12.5,18.75,0,0,0,12.5,12.5,12.5,-14.58,38.75,-12.71,41.88,53.34,67.92,20,8.34,12.5,12.5,0,0,0,100,1008,3,86,306,2,62,674,3,0,0,0,0,0,0,148,25,17,39,55,136,50,86,148,27,32
48,gsuarezc04,1,0,25,0,50,25,25,0,25,0,50,25,0,25,0,50,37.5,0,20.83,75,133.33,0,0,0,0,0,0,0,0,0,0,0,20.83,4.17,0,0,25,4.17,75,-75,0,0,0,-75,37.5,-12.5,0,0,-12.5,25,133.33,-83.33,0,0,50,-83.33,0,25,0,25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,18,23,2,0,0,0,0,0,0,,,0,13,
49,oeroaq,1,100,87.5,82.5,357.5,87.5,75,100,79.17,95.83,350,75,100,58.33,87.5,320.83,75,80,58.33,75,288.33,37.5,60,58.33,75,230.83,20,20,0,0,40,20,0,0,20.84,8.33,29.17,29.17,0,12.5,8.33,-13.33,7.5,7.5,37.5,0,0,12.5,12.5,50,57.5,32.5,29.17,7.5,126.67,69.17,40,29.17,7.5,50,43,65,3,31,304,3,81,93,4,30,158,2,43,65,3,96,258,3,197,446,461,223,162,1292,133,1158,197,19,31
50,gcantem,1,100,70.83,87.5,283.33,25,100,60,29.17,75,264.17,62.5,60,29.17,75,226.67,62.5,60,41.67,87.5,251.67,62.5,100,79.17,87.5,329.17,-40,0,0,40,0,40,-37.5,-12.5,0,41.66,-8.34,29.16,0,-12.5,0,12.5,0,0,0,0,37.5,-75,-37.5,-37.5,-77.5,-25,37.5,19.16,-45.84,31.66,0,-8.34,0,-37.5,9,15,12,7,27,5,0,0,0,9,20,10,9,15,12,36,30,7,27,190,87,83,313,673,135,536,27,28,37
51,Semoralesga,1,20,33.33,62.5,165.83,50,62.5,20,33.33,62.5,178.33,62.5,20,33.33,62.5,178.33,75,20,33.33,62.5,190.83,12.5,20,33.33,0,65.83,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,62.5,0,62.5,-12.5,0,-12.5,-25,37.5,125,-12.5,0,-12.5,100,-25,0,0,62.5,37.5,0,0,0,8,66,2,0,0,0,12,57,5,0,0,0,12,57,5,12,59,0,0,0,59,8,51,12,11,4
52,jonatan360,1,100,75,77.5,352.5,100,100,60,83.33,100,343.33,100,60,79.17,93.75,332.92,87.5,40,37.5,62.5,227.5,100,60,70.83,55,285.83,-20,20,0,40,40,60,-33.33,41.67,4.16,-8.33,4.17,37.5,7.5,31.25,6.25,-22.5,22.5,15,-12.5,12.5,0,0,12.5,0,-58.33,105.42,10.41,9.17,66.67,125,40,4.17,22.5,0,40,64,2,88,206,2,47,53,2,33,96,1,40,64,2,89,182,2,160,195,145,52,225,617,75,540,160,51,40
