,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum,phase1-clicks-count,phase2-clicks-count,phase3-clicks-count,phase4-clicks-count,sum-clicks-count,project-clicks-count,score-clicks-count,sum-add-loc,project-clicks-hacker,unique_apps
53,jesusfchavarro,1,100,62.5,82.5,345,100,75,100,70.83,87.5,333.33,75,100,70.83,100,345.83,75,60,66.67,87.5,289.17,100,40,33.33,75,248.33,20,40,0,0,60,40,33.34,4.16,0,-8.33,29.17,-4.17,12.5,12.5,-12.5,-5,7.5,-5,-25,0,0,25,25,0,40.84,56.66,-12.5,11.67,96.67,55.83,60,29.17,7.5,0,9,35,2,180,374,5,311,127,2,21,104,5,9,35,2,0,0,0,350,69,44,90,86,289,25,264,350,35,13
54,stevenbustos,1,20,33.33,70,198.33,75,62.5,20,33.33,0,115.83,50,20,33.33,0,103.33,50,20,33.33,0,103.33,12.5,20,37.5,62.5,132.5,0,0,0,0,0,0,-4.17,0,0,0,-4.17,0,-62.5,0,0,70,7.5,70,37.5,0,12.5,12.5,25,62.5,-29.17,0,12.5,82.5,65.83,95,0,-4.17,7.5,62.5,167,22,1,2,72,6,0,0,0,16,121,4,167,22,1,113,73,4,350,28,3,0,0,31,6,25,350,9,4
55,jufcontrerasco,1,60,79.17,50,264.17,75,75,20,41.67,25,161.67,50,20,33.33,25,128.33,50,0,33.33,25,108.33,0,0,29.17,62.5,91.67,0,20,0,40,60,60,4.16,0,8.34,37.5,50,45.84,-37.5,0,0,25,-12.5,25,50,0,25,0,25,75,16.66,20,33.34,102.5,172.5,155.84,60,50,-12.5,75,0,0,0,14,24,5,4,0,1,53,113,3,0,0,0,53,117,3,57,37,28,1,6,72,6,66,57,9,6
56,dsbarrerag,1,80,70.83,91.67,330,87.5,87.5,60,62.5,75,285,75,100,62.5,87.5,325,75,100,70.83,87.5,333.33,50,80,70.83,25,225.83,20,0,-40,20,0,-20,0,-8.33,0,8.33,0,0,62.5,0,-12.5,16.67,66.67,4.17,25,0,12.5,0,12.5,37.5,107.5,-8.33,-40,45,104.17,-3.33,0,0,66.67,37.5,53,20,2,71,43,4,2,12,1,1,3,1,53,20,2,84,105,5,109,47,1,0,0,48,15,33,109,17,4
57,wolfstain,1,20,33.33,56.25,197.08,87.5,87.5,20,33.33,62.5,203.33,87.5,20,25,62.5,195,75,20,33.33,62.5,190.83,25,20,29.17,0,74.17,0,0,0,0,0,0,4.16,-8.33,8.33,0,4.16,0,62.5,0,0,-6.25,56.25,-6.25,50,12.5,0,0,12.5,62.5,116.66,4.17,8.33,-6.25,122.91,6.25,0,4.16,56.25,62.5,0,0,0,46,459,6,49,391,7,437,459,2,0,0,0,95,459,7,486,203,19,43,0,265,28,237,486,18,4
58,miaborjaac,1,80,70.83,85,323.33,87.5,75,80,66.67,80,301.67,75,80,58.33,87.5,300.83,62.5,20,33.33,0,115.83,62.5,20,37.5,0,120,0,60,0,0,60,60,-4.17,25,8.34,4.16,33.33,37.5,0,87.5,-7.5,5,85,85,0,12.5,0,12.5,25,25,-4.17,185,0.84,21.66,203.33,207.5,60,33.33,85,25,10,42,2,34,29,5,18,16,3,28,92,2,10,42,2,26,32,3,66,130,93,84,89,396,68,327,66,29,26
59,ivdgonzalezco,1,100,50,87.5,312.5,75,75,40,50,0,165,75,20,29.17,0,124.17,75,20,33.33,0,128.33,0,0,0,0,0,20,0,20,60,100,80,33.33,-4.16,20.83,0,50,16.67,0,0,0,87.5,87.5,87.5,75,0,0,0,0,75,128.33,-4.16,40.83,147.5,312.5,184.17,100,50,87.5,75,1,3,1,1,5,1,0,0,0,0,0,0,1,3,1,39,219,7,2,45,90,40,0,175,71,103,2,12,39
60,maikellPardo,1,0,37.5,25,62.5,0,25,0,25,25,75,0,0,33.33,25,58.33,12.5,0,25,25,62.5,37.5,0,25,25,87.5,0,0,0,0,0,0,0,8.33,-8.33,12.5,12.5,12.5,0,0,0,0,0,0,-25,-12.5,25,-25,-12.5,-37.5,-25,-4.17,16.67,-12.5,-25,0,0,12.5,0,-37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,,18,0,16,
61,Christian7sr,1,20,29.17,0,124.17,75,75,20,29.17,0,124.17,75,20,29.17,0,124.17,62.5,20,29.17,0,111.67,25,20,29.17,0,74.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,0,0,12.5,50,37.5,12.5,0,0,50,12.5,0,0,0,50,5,5,1,1,37,1,0,0,0,0,0,0,5,5,1,0,0,0,10,166,71,0,0,237,69,167,10,13,40
62,jsnarvaezb,1,20,54.17,50,211.67,87.5,75,40,54.17,75,244.17,62.5,20,58.33,87.5,228.33,62.5,20,50,75,207.5,50,20,41.67,62.5,174.17,0,0,20,-20,0,0,8.33,8.33,-4.16,0,12.5,4.17,12.5,12.5,-12.5,-25,-12.5,-25,12.5,0,12.5,12.5,25,37.5,33.33,20.83,15.84,-32.5,37.5,4.17,0,12.5,-12.5,37.5,0,0,0,98,133,6,3,8,2,8,56,2,0,0,0,8,61,2,11,77,34,1,0,112,20,92,11,20,4
63,gfalbarracinr,1,0,25,0,100,75,50,0,0,0,50,50,0,25,0,75,37.5,0,25,0,62.5,12.5,0,25,25,62.5,0,0,0,0,0,0,0,0,-25,25,0,0,-25,0,0,0,-25,0,25,12.5,0,25,37.5,62.5,0,12.5,-25,50,37.5,37.5,0,0,-25,62.5,3,8,3,48,40,7,40,36,5,10,6,8,3,8,3,0,0,0,56,31,0,43,35,109,25,83,56,14,15
64,aldiazve,1,20,54.17,75,236.67,87.5,87.5,60,54.17,58.33,260,75,40,45.83,68.75,229.58,75,40,45.83,50,210.83,37.5,20,25,37.5,120,20,0,20,-40,0,-20,20.83,0,8.34,0,29.17,8.34,12.5,18.75,-10.42,16.67,37.5,25,37.5,0,12.5,0,12.5,50,90.83,18.75,30.42,-23.33,116.67,25.84,0,29.17,37.5,50,14,83,3,10,229,6,0,0,0,1,29,2,14,83,3,4,49,2,29,162,86,13,113,374,87,287,29,148,27
65,diegoaguevarar,1,80,62.5,87.5,317.5,87.5,75,100,75,62.5,312.5,75,100,62.5,87.5,325,75,40,54.17,50,219.17,50,0,25,12.5,87.5,40,60,0,-20,80,40,29.17,8.33,12.5,-12.5,37.5,8.33,37.5,37.5,-25,25,75,37.5,25,0,0,12.5,12.5,37.5,131.67,105.83,-12.5,5,230,98.33,80,37.5,75,37.5,0,0,9,0,0,9,0,0,0,0,0,0,0,0,9,45,93,2,0,83,6,11,29,129,57,72,0,32,20
66,fevargasmo,1,40,50,75,240,75,75,40,58.33,75,248.33,75,80,58.33,100,313.33,75,0,29.17,25,129.17,50,40,75,0,165,-40,80,-40,0,0,40,-45.83,29.16,0,-8.33,-25,20.83,25,75,-25,0,75,50,25,0,0,0,0,25,-35.83,184.16,-65,-8.33,75,110.83,0,-25,75,25,32,19,2,6,307,3,5,163,1,7,90,1,32,19,2,86,245,17,76,66,14,8,9,97,8,89,76,18,6
67,jmhurtadoc,1,0,33.33,25,120.83,62.5,62.5,0,29.17,25,116.67,62.5,0,33.33,25,120.83,62.5,0,25,0,87.5,100,0,25,37.5,162.5,0,0,0,0,0,0,0,8.33,-4.16,4.16,8.33,8.33,-37.5,25,0,0,-12.5,25,-37.5,0,0,0,0,-37.5,-75,33.33,-4.16,4.16,-41.67,33.33,0,8.33,-12.5,-37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,14,
68,anfmorenoso,1,40,37.5,52.5,217.5,87.5,75,20,33.33,50,178.33,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,0,20,37.5,40,97.5,0,0,0,20,20,20,-4.17,0,0,4.17,0,4.17,-40,0,50,2.5,12.5,52.5,62.5,0,12.5,12.5,25,87.5,18.33,0,62.5,39.17,120,101.67,20,0,12.5,87.5,32,25,2,2,27,6,0,0,0,11,25,3,32,25,2,55,162,12,75,30,17,0,27,74,17,56,75,139,9
69,nabautistal,1,20,50,62.5,195,62.5,37.5,20,33.33,0,90.83,37.5,20,29.17,0,86.67,50,20,29.17,0,99.17,12.5,20,25,0,57.5,0,0,0,0,0,0,4.17,0,4.16,16.67,25,20.83,0,0,0,62.5,62.5,62.5,37.5,-12.5,0,25,12.5,50,41.67,-12.5,4.16,104.17,137.5,95.83,0,25,62.5,50,2,0,4,0,0,8,0,0,2,0,0,2,2,0,4,0,0,7,4,80,11,0,0,91,20,71,4,13,4
70,crigar,1,20,25,0,82.5,37.5,62.5,20,25,0,107.5,37.5,20,25,0,82.5,50,20,25,0,95,25,20,25,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-12.5,25,-25,-12.5,12.5,25,-12.5,25,-25,12.5,-12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,2,0,9,3
71,jiapulidoar,1,60,83.33,66.67,310,100,100,40,62.5,75,277.5,100,40,66.67,75,281.67,100,40,41.67,75,256.67,87.5,40,50,41.67,219.17,0,0,0,20,20,20,-8.33,25,-4.17,20.83,33.33,41.66,33.33,0,0,-8.33,25,-8.33,12.5,0,0,0,0,12.5,37.5,25,-4.17,32.5,90.83,53.33,20,33.33,25,12.5,3,35,2,22,142,8,24,61,1,0,0,0,3,35,2,0,0,2017,30,238,59,38,48,383,17,364,30,16,12
72,jsviveroj,1,80,79.17,72.5,331.67,100,87.5,60,58.33,75,280.83,87.5,60,58.33,87.5,293.33,75,20,33.33,25,153.33,50,20,33.33,0,103.33,0,40,0,20,60,60,0,25,0,20.84,45.84,45.84,25,62.5,-12.5,-2.5,72.5,47.5,25,12.5,0,12.5,25,50,50,140,-12.5,50.84,228.34,178.34,60,45.84,72.5,50,6,32,2,17,147,3,12,52,2,5,44,2,6,32,2,15,120,2,29,94,25,8,44,171,53,118,29,22,29
73,daandradec,1,100,66.67,95,336.67,75,75,100,75,68.75,318.75,100,20,58.33,62.5,240.83,87.5,80,58.33,87.5,313.33,50,0,25,62.5,137.5,80,-60,80,0,100,20,33.33,0,16.67,-8.33,41.67,8.34,25,-25,6.25,26.25,32.5,7.5,37.5,12.5,-25,0,-12.5,25,175.83,-72.5,77.92,17.92,199.17,23.34,100,41.67,32.5,25,0,0,0,11,62,2,61,125,2,69,12,1,0,0,0,36,132,12,130,66,56,76,42,240,35,205,130,26,18
74,jcrubioa,1,40,50,81.25,246.25,75,75,20,45.83,75,215.83,75,20,29.17,81.25,205.42,75,0,25,87.5,187.5,75,20,41.67,0,136.67,-20,20,0,20,20,40,-16.67,4.17,16.66,4.17,8.33,25,87.5,-6.25,-6.25,6.25,81.25,-6.25,0,0,0,0,0,0,50.83,17.92,10.41,30.42,109.58,58.75,20,8.33,81.25,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,71,52,0,0,123,32,91,0,17,12
75,joahernandezca,1,20,54.17,25,161.67,62.5,50,20,37.5,25,132.5,50,0,33.33,25,108.33,50,0,25,0,75,50,0,37.5,62.5,150,0,0,20,0,20,20,-12.5,8.33,4.17,16.67,16.67,29.17,-62.5,25,0,0,-37.5,25,0,0,0,12.5,12.5,12.5,-75,33.33,24.17,29.17,11.67,86.67,20,16.67,-37.5,12.5,0,0,0,2,25,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,0,13,
76,ItsNavi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,14,0,0,0,14,3,11,0,7,2
77,Zeugmax,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,15,
78,kastellanos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,10,
79,JairVillalba,1,0,0,0,75,75,62.5,0,0,0,62.5,62.5,0,0,0,62.5,62.5,0,0,0,62.5,62.5,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,12.5,12.5,12.5,0,0,0,12.5,9,111,4,21,114,7,18,48,3,27,75,5,9,111,4,0,0,0,63,82,85,10,97,274,101,171,63,22,29
80,jusherrerama,2,20,25,0,120,75,62.5,20,25,0,107.5,62.5,20,37.5,0,120,62.5,20,29.17,50,161.67,25,20,37.5,0,82.5,0,0,0,0,0,0,-8.33,8.33,-12.5,0,-12.5,-4.17,50,-50,0,0,0,-50,37.5,0,0,12.5,12.5,50,79.17,-41.67,-12.5,12.5,37.5,-41.67,0,-12.5,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,103,
81,bdvegat,2,20,25,0,107.5,62.5,50,20,25,0,95,50,20,25,0,95,50,20,25,0,95,0,0,0,0,0,20,0,0,0,20,0,25,0,0,0,25,0,0,0,0,0,0,0,50,0,0,12.5,12.5,62.5,95,0,0,12.5,107.5,12.5,20,25,0,62.5,0,0,5,25,50,3,25,50,3,0,0,0,0,0,0,3,4,2,25,0,18,0,0,18,14,,25,44,8
82,Phoenixest,2,0,25,25,75,25,25,20,25,25,95,25,20,25,25,95,37.5,20,29.17,25,111.67,0,20,29.17,25,74.17,0,0,0,-20,-20,-20,0,-4.17,0,0,-4.17,-4.17,0,0,0,0,0,0,37.5,-12.5,0,0,-12.5,25,37.5,-16.67,0,-20,0.83,-36.67,-20,-4.17,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,2,,0,93,2
83,HashNick,2,40,50,25,152.5,37.5,37.5,40,54.17,0,131.67,37.5,20,45.83,0,103.33,50,0,33.33,25,108.33,0,0,0,0,0,0,20,20,0,40,40,33.33,12.5,8.34,-4.17,50,16.67,25,-25,0,25,25,0,50,-12.5,0,0,-12.5,37.5,108.33,-5,28.34,20.83,152.5,44.17,40,50,25,37.5,3,5,1,0,0,0,0,0,0,18,23,2,0,0,0,7,10,2,21,21,0,0,0,21,8,,21,33,7
84,ccvacad,2,80,66.67,80,314.17,87.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,80,80,80,0,0,0,66.67,66.67,66.67,0,0,0,80,80,80,12.5,-12.5,0,87.5,75,87.5,12.5,-12.5,0,314.17,314.17,301.67,80,66.67,80,87.5,3,41,1,2,38,5,0,0,0,2,36,5,19,57,2,1,1,1,24,4,42,8,38,92,84,,24,,37
85,joaortizro,2,100,50,87.5,325,87.5,87.5,80,50,62.5,280,87.5,80,50,87.5,305,87.5,60,33.33,87.5,268.33,62.5,20,25,0,107.5,40,20,0,20,80,40,8.33,16.67,0,0,25,16.67,87.5,0,-25,25,87.5,0,25,0,0,0,0,25,160.83,36.67,-25,45,217.5,56.67,80,25,87.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,52,
86,juasmartinezbel,2,100,75,75,337.5,87.5,75,100,58.33,87.5,320.83,75,60,70.83,87.5,293.33,75,80,54.17,87.5,296.67,75,60,54.17,62.5,251.67,20,-20,40,0,40,20,0,16.66,-12.5,16.67,20.83,20.83,25,0,0,-12.5,12.5,-12.5,0,0,0,12.5,12.5,12.5,45,-3.34,27.5,16.67,85.83,40.83,40,20.83,12.5,12.5,3,8,1,4,21,1,1,9,1,4,0,1,0,0,0,1,13,1,8,0,0,0,0,0,,,8,83,
87,mdbelloc,2,0,37.5,25,137.5,75,75,0,29.17,25,129.17,75,0,33.33,25,133.33,75,0,25,25,125,37.5,0,29.17,25,91.67,0,0,0,0,0,0,-4.17,8.33,-4.16,8.33,8.33,12.5,0,0,0,0,0,0,37.5,0,0,0,0,37.5,33.33,8.33,-4.16,8.33,45.83,12.5,0,8.33,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,104,
88,diegocruz10,2,20,45.83,25,128.33,37.5,37.5,40,29.17,0,106.67,37.5,20,54.17,0,111.67,50,20,58.33,0,128.33,25,20,45.83,0,90.83,0,0,20,-20,0,0,12.5,-4.16,-25,16.66,0,-12.5,0,0,0,25,25,25,25,-12.5,0,0,-12.5,12.5,37.5,-16.66,-5,21.66,37.5,0,0,0,25,12.5,74,150,3,2,0,3,45,93,2,0,0,0,0,0,0,106,938,3,119,11,0,0,3,14,12,,119,74,12
89,crarojasca,2,20,25,0,45,0,0,20,25,0,45,0,20,25,0,45,12.5,20,25,0,57.5,0,20,25,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,32,,0,,30
90,sagilm,2,20,33.33,62.5,178.33,62.5,50,0,37.5,62.5,150,50,0,33.33,62.5,145.83,37.5,0,33.33,0,70.83,25,0,25,0,50,0,0,0,20,20,20,8.33,0,4.17,-4.17,8.33,0,0,62.5,0,0,62.5,62.5,12.5,12.5,0,12.5,25,37.5,20.83,75,4.17,28.33,128.33,107.5,20,8.33,62.5,37.5,14,35,3,19,129,6,7,8,3,12,13,4,15,103,1,25,120,5,48,27,21,0,0,48,35,,48,77,24
91,idrojasf,2,20,50,25,170,75,75,20,58.33,0,153.33,37.5,60,58.33,0,155.83,37.5,60,45.83,25,168.33,62.5,20,62.5,62.5,207.5,40,0,-40,0,0,-40,-16.67,12.5,0,-8.33,-12.5,4.17,-37.5,-25,0,25,-37.5,0,-25,0,37.5,0,37.5,12.5,-39.17,-12.5,-2.5,16.67,-37.5,1.67,0,-12.5,-37.5,12.5,0,0,0,12,15,2,0,0,0,11,9,1,0,0,0,0,0,0,11,38,21,0,0,59,44,,11,95,21
92,raulramirezp,2,60,45.83,66.67,272.5,100,75,40,33.33,0,148.33,75,40,33.33,75,223.33,75,40,29.17,75,219.17,0,0,0,0,0,40,0,0,20,60,20,29.17,4.16,0,12.5,45.83,16.66,75,0,-75,66.67,66.67,-8.33,75,0,0,25,25,100,219.17,4.16,-75,124.17,272.5,53.33,60,45.83,66.67,100,22,20,8,23,24,7,0,0,0,22,18,3,19,0,1,22,37,3,63,31,17,7,43,98,78,,63,37,36
93,fabianr23,2,80,58.33,87.5,325.83,100,100,100,70.83,87.5,358.33,100,100,70.83,87.5,358.33,100,80,62.5,87.5,330,50,80,75,0,205,0,20,0,-20,0,0,-12.5,8.33,0,-12.5,-16.67,-4.17,87.5,0,0,0,87.5,0,50,0,0,0,0,50,125,28.33,0,-32.5,120.83,-4.17,0,-16.67,87.5,50,47,132,2,84,113,6,20,35,4,97,110,2,18,11,2,141,96,6,182,38,0,0,0,38,38,,182,83,18
94,jhriverasa,2,100,58.33,60,318.33,100,75,100,70.83,87.5,333.33,87.5,100,50,75,312.5,87.5,20,29.17,87.5,224.17,50,20,29.17,43.75,142.92,0,80,0,0,80,80,0,20.83,20.83,-12.5,29.16,29.16,43.75,-12.5,12.5,-27.5,16.25,-27.5,37.5,0,-12.5,25,12.5,50,81.25,88.33,20.83,-15,175.41,94.16,80,29.16,16.25,50,14,65,8,73,158,5,1,3,2,0,0,2,0,0,10,24,93,2,15,0,13,36,19,68,49,,15,18,28
95,jhonsd1996,2,20,54.17,25,174.17,75,75,20,62.5,0,157.5,75,20,58.33,0,153.33,75,0,0,0,75,50,0,25,25,100,0,20,0,0,20,20,-25,58.33,4.17,-8.33,29.17,54.17,-25,0,0,25,0,25,25,0,0,0,0,25,-25,78.33,4.17,16.67,74.17,99.17,20,29.17,0,25,2,3,5,0,0,1,0,0,0,0,0,0,0,0,0,6,32,8,2,58,107,3,30,198,182,,2,70,36
96,JuanitoAli,2,80,58.33,65,265.83,62.5,62.5,100,75,87.5,325,62.5,80,54.17,58.33,255,62.5,80,54.17,87.5,284.17,75,0,25,0,100,80,0,20,-20,80,0,29.17,0,20.83,-16.67,33.33,4.16,87.5,-29.17,29.17,-22.5,65,-22.5,-12.5,0,0,0,0,-12.5,184.17,-29.17,70,-59.17,165.83,-18.34,80,33.33,65,-12.5,125,221,4,121,172,8,178,316,5,270,98,4,0,0,0,181,147,8,573,26,21,35,85,167,109,,573,53,37
97,Davsatu313,2,80,70.83,84.38,322.71,87.5,87.5,80,62.5,70.83,300.83,87.5,100,58.33,75,320.83,87.5,20,54.17,75,236.67,62.5,20,50,75,207.5,0,80,-20,0,60,60,4.17,4.16,4.17,8.33,20.83,16.66,0,0,-4.17,13.55,9.38,9.38,25,0,0,0,0,25,29.17,84.16,-20,21.88,115.21,86.04,60,20.83,9.38,25,0,0,1,4,31,2,2,15,2,1,11,1,1,0,1,7,7,3,4,20,0,38,0,58,55,,4,66,27
98,cesarochoa2006,2,100,66.67,72.5,326.67,87.5,87.5,60,58.33,78.13,283.96,87.5,60,41.67,87.5,276.67,62.5,60,45.83,87.5,255.83,37.5,20,29.17,0,86.67,40,0,0,40,80,40,16.66,-4.16,16.66,8.34,37.5,20.84,87.5,0,-9.37,-5.63,72.5,-15,25,25,0,0,25,50,169.16,20.84,7.29,42.71,240,70.84,80,37.5,72.5,50,0,0,0,19,54,2,1,2,1,20,54,2,0,0,0,0,0,0,21,52,29,13,1,95,92,,21,57,35
99,jjmuesesq,2,20,25,0,120,75,62.5,20,25,0,107.5,50,0,29.17,0,79.17,50,20,29.17,87.5,186.67,37.5,20,25,0,82.5,0,-20,20,0,0,0,4.17,0,-4.17,0,0,-4.17,87.5,-87.5,0,0,0,-87.5,12.5,0,12.5,12.5,25,37.5,104.17,-107.5,28.33,12.5,37.5,-66.67,0,0,0,37.5,0,0,5,0,0,11,0,0,1,0,0,8,0,0,1,0,0,10,0,2,0,52,21,75,72,,0,32,33
100,jucjimenezmo,2,0,25,62.5,187.5,100,75,20,33.33,75,203.33,47,20,33.33,0,100.33,50,20,29.17,0,99.17,12.5,0,0,0,12.5,20,0,0,-20,0,-20,29.17,4.16,0,-8.33,25,-4.17,0,0,75,-12.5,62.5,62.5,37.5,-3,28,25,50,87.5,86.67,1.16,103,-15.83,175,88.33,0,25,62.5,87.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,68,24,2,116,100,,0,15,29
101,kancas,2,20,25,62.5,182.5,75,62.5,40,29.17,75,206.67,62.5,60,33.33,75,230.83,62.5,60,33.33,87.5,243.33,37.5,20,29.17,0,37.5,40,0,-20,-20,0,-40,4.16,0,-4.16,-4.17,-4.17,-8.33,87.5,-12.5,0,-12.5,62.5,-25,25,0,0,12.5,12.5,37.5,205.83,-12.5,-24.16,-24.17,145,-60.83,0,-4.17,62.5,37.5,14,15,2,14,15,2,0,0,0,0,0,0,0,0,0,0,0,0,14,6,2,25,1,34,32,,14,83,25
102,Gantiva,2,100,70.83,100,345.83,75,62.5,100,75,0,237.5,62.5,100,66.67,0,229.17,75,0,33.33,25,133.33,50,20,45.83,0,115.83,-20,100,0,0,80,100,-12.5,33.34,8.33,-4.17,25,37.5,25,-25,0,100,100,75,25,-12.5,0,12.5,0,25,17.5,95.84,8.33,108.33,230,212.5,80,25,100,25,3,5,1,22,105,3,9,17,2,22,86,2,0,0,0,5,57,2,34,25,4,0,0,29,27,,34,49,18
103,Dandarprox,2,80,58.33,37.5,275.83,100,75,80,58.33,0,213.33,62.5,40,33.33,0,135.83,62.5,40,33.33,0,135.83,12.5,20,29.17,43.75,105.42,20,0,40,0,60,40,4.16,0,25,0,29.16,25,-43.75,0,0,37.5,-6.25,37.5,50,0,12.5,25,37.5,87.5,30.41,0,77.5,62.5,170.41,140,60,29.16,-6.25,87.5,0,0,0,11,16,1,0,0,0,11,16,1,0,0,0,0,0,0,11,27,0,39,2,68,63,,11,89,30
104,debeltranc,2,0,25,25,125,75,50,0,25,25,100,50,0,25,25,100,50,0,25,0,75,75,0,25,62.5,162.5,0,0,0,0,0,0,0,0,0,0,0,0,-62.5,25,0,0,-37.5,25,-25,0,0,25,25,0,-87.5,25,0,25,-37.5,50,0,0,-37.5,0,0,0,2,0,0,0,17,17,2,0,0,0,6,8,2,0,0,0,23,23,0,0,0,23,1,,23,69,1
105,ykchautai,2,20,41.67,75,211.67,75,75,20,41.67,62.5,199.17,75,20,37.5,62.5,195,62.5,20,37.5,0,120,50,20,29.17,62.5,161.67,0,0,0,0,0,0,8.33,0,4.17,0,12.5,4.17,-62.5,62.5,0,12.5,12.5,75,12.5,12.5,0,0,12.5,25,-41.67,75,4.17,12.5,50,91.67,0,12.5,12.5,25,13,61,2,25,196,4,6,52,2,2,29,3,16,66,2,17,140,3,37,42,0,19,30,91,70,,37,50,35
106,ligibrial,2,0,33.33,25,145.83,87.5,62.5,0,33.33,12.5,108.33,62.5,0,33.33,25,120.83,50,0,33.33,25,108.33,37.5,0,33.33,62.5,133.33,0,0,0,0,0,0,0,0,0,0,0,0,-37.5,0,-12.5,12.5,-37.5,0,12.5,12.5,0,25,37.5,50,-25,12.5,-12.5,37.5,12.5,37.5,0,0,-37.5,50,5,10,4,1,10,6,21,9,1,8,14,2,2,4,6,2,9,6,36,0,0,0,38,38,32,,36,82,24
107,davidrh195,2,20,25,0,95,50,62.5,20,25,0,107.5,62.5,20,25,0,107.5,75,20,25,0,120,0,0,0,0,0,20,0,0,0,20,0,25,0,0,0,25,0,0,0,0,0,0,0,75,-12.5,0,-12.5,-25,50,120,-12.5,0,-12.5,95,-25,20,25,0,50,6,9,1,146,275,3,0,0,0,28,44,2,0,0,0,2,26,2,34,85,32,43,30,190,170,,34,47,35
