,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum,phase1-clicks-count,phase2-clicks-count,phase3-clicks-count,phase4-clicks-count,sum-clicks-count,project-clicks-count,score-clicks-count,sum-add-loc,project-clicks-hacker,unique_apps
108,JulianaNino,2,20,41.67,75,224.17,87.5,75,20,29.17,0,124.17,75,20,29.17,0,124.17,62.5,0,29.17,0,91.67,25,0,29.17,0,54.17,0,20,0,0,20,20,0,0,0,12.5,12.5,12.5,0,0,0,75,75,75,37.5,12.5,0,12.5,25,62.5,37.5,32.5,0,100,170,132.5,20,12.5,75,62.5,3,31,2,4,55,3,12,35,1,50,86,1,1,1,2,63,122,3,66,26,4,19,0,49,46,,66,84,26
109,luegilca,2,0,37.5,0,100,62.5,62.5,0,29.17,25,116.67,62.5,0,33.33,25,120.83,62.5,0,25,25,112.5,37.5,0,29.17,62.5,129.17,0,0,0,0,0,0,-4.17,8.33,-4.16,8.33,8.33,12.5,-37.5,0,0,-25,-62.5,-25,25,0,0,0,0,25,-16.67,8.33,-4.16,-16.67,-29.17,-12.5,0,8.33,-62.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,46,27,,0,49,20
110,Yelis3,2,80,66.67,62.5,309.17,100,87.5,80,66.67,0,234.17,87.5,60,45.83,75,268.33,87.5,20,41.67,62.5,211.67,87.5,40,41.67,62.5,231.67,-20,40,20,0,40,60,0,4.16,20.84,0,25,25,0,12.5,-75,62.5,0,0,0,0,0,12.5,12.5,12.5,-20,56.66,-34.16,75,77.5,97.5,40,25,0,12.5,0,0,4,6,23,9,56,127,2,32,59,4,110,167,7,81,236,8,198,53,0,0,4,57,56,,198,50,23
111,begarzonf,2,40,25,75,227.5,87.5,75,40,25,75,215,62.5,20,29.17,62.5,174.17,62.5,20,25,0,107.5,37.5,20,25,75,157.5,0,0,20,0,20,20,0,4.17,-4.17,0,0,0,-75,62.5,12.5,0,0,75,25,0,12.5,12.5,25,50,-50,66.67,40.83,12.5,70,120,20,0,0,50,0,0,0,3,4,7,3,4,2,0,0,0,0,0,0,0,0,8,3,57,4,18,37,116,109,,3,71,34
112,kmendezp96,2,60,79.17,65.63,304.79,100,62.5,40,45.83,58.33,206.67,75,40,45.83,75,235.83,75,40,33.33,62.5,210.83,50,40,33.33,62.5,185.83,0,0,0,20,20,20,0,12.5,0,33.34,45.84,45.84,0,12.5,-16.67,7.3,3.13,3.13,25,0,-12.5,37.5,25,50,25,25,-29.16,98.12,118.96,93.96,20,45.84,3.13,50,5,47,1,72,157,2,3,16,1,56,51,2,77,112,2,101,144,2,141,11,0,0,15,26,17,,141,94,11
113,leguzman,2,60,79.17,100,339.17,100,100,40,62.5,87.5,290,87.5,0,37.5,25,150,87.5,40,41.67,75,244.17,25,20,45.83,62.5,153.33,20,-40,40,20,40,20,-4.16,-4.17,25,16.67,33.34,37.5,12.5,-50,62.5,12.5,37.5,25,62.5,0,12.5,0,12.5,75,90.84,-94.17,140,49.17,185.84,95,40,33.34,37.5,75,67,318,6,93,967,8,62,408,5,152,274,6,62,257,6,86,749,7,343,53,75,19,9,156,139,,343,109,31
114,luealfonsoru,2,0,45.83,25,158.33,87.5,87.5,0,25,25,137.5,87.5,0,33.33,25,145.83,87.5,0,25,25,137.5,62.5,0,29.17,62.5,154.17,0,0,0,0,0,0,-4.17,8.33,-8.33,20.83,16.66,20.83,-37.5,0,0,0,-37.5,0,25,0,0,0,0,25,-16.67,8.33,-8.33,20.83,4.16,20.83,0,16.66,-37.5,25,37,48,2,38,60,2,1,1,1,1,12,1,0,0,0,2,13,1,39,56,0,0,1,57,54,,39,82,21
115,oserasoa,2,0,33.33,33.33,154.17,87.5,37.5,20,33.33,25,115.83,37.5,20,41.67,25,124.17,37.5,0,33.33,25,95.83,25,0,29.17,0,54.17,0,20,0,-20,0,0,4.16,8.34,-8.34,0,4.16,0,25,0,0,8.33,33.33,8.33,12.5,0,0,50,50,62.5,41.66,28.34,-8.34,38.34,100,58.34,0,4.16,33.33,62.5,1,1,1,10,28,2,1,6,1,0,0,0,14,27,2,9,27,2,16,25,39,0,0,64,61,,16,71,33
116,lsfinite,2,0,25,12.5,125,87.5,0,0,0,0,0,50,0,25,25,100,50,0,25,25,100,12.5,0,25,25,62.5,0,0,0,0,0,0,0,0,-25,25,0,0,0,0,-25,12.5,-12.5,-12.5,37.5,0,-50,87.5,37.5,75,37.5,0,-100,125,62.5,25,0,0,-12.5,75,15,47,6,15,44,6,8,32,2,9,6,2,0,0,0,16,37,3,32,67,14,0,0,81,66,,32,83,25
117,xdanielsb,2,100,87.5,70,357.5,100,50,0,25,0,75,50,0,25,0,75,62.5,0,25,0,87.5,87.5,60,37.5,75,260,-60,0,0,100,40,100,-12.5,0,0,62.5,50,62.5,-75,0,0,70,-5,70,-25,-12.5,0,50,37.5,12.5,-172.5,-12.5,0,282.5,97.5,270,40,50,-5,12.5,11,37,8,12,58,11,11,53,5,10,165,3,8,143,3,12,97,5,40,110,17,102,131,360,250,,40,46,37
118,CSebasGomez,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,17,61,1,0,0,0,0,0,0,0,0,0,0,0,0,61,68,2,17,0,0,0,0,0,,,17,,
119,jhcardenasa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,18,
120,tres-iqus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,
121,jscontrerasp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,6,29,9,5,19,43,3,1,1,1,32,3,1,51,46,4,53,97,5,33,43,178,173,,53,37,37
122,lemartinp,3,100,54.17,87.5,329.17,87.5,87.5,80,58.33,75,300.83,62.5,20,54.17,0,136.67,62.5,40,29.17,0,131.67,25,0,33.33,0,58.33,40,-20,60,20,100,60,-4.16,25,4.16,-4.16,20.84,25,0,0,75,12.5,87.5,87.5,37.5,0,25,0,25,62.5,73.34,5,164.16,28.34,270.84,197.5,100,20.84,87.5,62.5,9,76,4,14,303,4,0,0,0,26,246,4,2,4,1,26,248,4,37,107,0,0,6,113,43,69,37,112,25
123,juligarji,3,100,75,92.5,355,87.5,100,100,70.83,87.5,358.33,87.5,20,33.33,62.5,203.33,87.5,40,45.83,68.75,242.08,50,20,29.17,62.5,161.67,20,-20,80,0,80,60,16.66,-12.5,37.5,4.17,45.83,29.17,6.25,-6.25,25,5,30,23.75,37.5,0,12.5,-12.5,0,37.5,80.41,-38.75,155,-3.33,193.33,112.92,80,45.83,30,37.5,18,129,1,56,295,4,133,253,3,29,37,1,44,44,1,162,290,4,224,42,0,0,0,42,1,40,224,143,1
124,nfmorenog,3,0,37.5,15,127.5,75,75,0,33.33,12.5,120.83,75,0,33.33,25,133.33,75,0,33.33,25,133.33,50,0,29.17,25,104.17,0,0,0,0,0,0,4.16,0,0,4.17,8.33,4.17,0,0,-12.5,2.5,-10,-10,25,0,0,0,0,25,29.16,0,-12.5,6.67,23.33,-5.83,0,8.33,-10,25,5,16,2,5,17,2,5,5,1,1,0,1,0,0,0,5,6,2,11,131,46,12,0,189,51,135,11,123,22
125,AFelipeGA,3,40,37.5,56.25,221.25,87.5,75,40,37.5,0,152.5,75,40,37.5,0,152.5,75,40,37.5,0,152.5,12.5,0,25,0,37.5,40,0,0,0,40,0,12.5,0,0,0,12.5,0,0,0,0,56.25,56.25,56.25,62.5,0,0,12.5,12.5,75,115,0,0,68.75,183.75,68.75,40,12.5,56.25,75,0,0,0,25,203,20,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,0,0,67,9,58,0,93,8
126,mballeng91,3,0,25,25,112.5,62.5,62.5,0,25,25,112.5,50,0,25,25,100,50,0,25,25,100,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,25,0,0,0,25,0,50,0,12.5,0,12.5,62.5,100,0,12.5,0,112.5,12.5,0,25,25,62.5,0,0,0,4,3,4,0,0,0,4,3,4,0,0,0,4,3,4,4,152,25,3,0,180,43,129,4,61,22
127,dduartec,3,80,83.33,95,345.83,87.5,87.5,0,0,0,87.5,87.5,80,62.5,75,305,87.5,100,70.83,75,333.33,0,0,41.67,0,41.67,100,-20,-80,80,80,-20,29.16,-8.33,-62.5,83.33,41.66,12.5,75,0,-75,95,95,20,87.5,0,0,0,0,87.5,291.66,-28.33,-217.5,258.33,304.16,12.5,80,41.66,95,87.5,23,21,2,7,7,4,7,7,2,0,0,0,0,0,1,21,23,2,30,96,196,44,54,390,132,248,30,103,38
128,srmedinac,3,20,33.33,0,128.33,75,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,25,0,0,0,25,20,0,0,0,20,0,33.33,0,0,0,33.33,0,0,0,0,0,0,0,37.5,0,0,12.5,12.5,50,90.83,0,0,12.5,103.33,12.5,20,33.33,0,50,48,228,6,48,228,6,2,2,1,1,1,1,0,0,0,3,3,1,51,14,0,0,0,14,3,11,51,102,2
129,wilson911013,3,0,25,0,75,50,37.5,20,25,0,82.5,37.5,20,33.33,0,90.83,37.5,20,33.33,0,90.83,12.5,20,45.83,0,78.33,0,0,0,-20,-20,-20,-12.5,0,-8.33,0,-20.83,-8.33,0,0,0,0,0,0,25,0,0,12.5,12.5,37.5,12.5,0,-8.33,-7.5,-3.33,-15.83,-20,-20.83,0,37.5,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,105,12,2,0,119,60,46,0,15,29
130,wapiravaguens,3,80,75,72.5,327.5,100,62.5,80,75,0,217.5,62.5,80,50,0,192.5,62.5,80,50,0,192.5,62.5,60,54.17,62.5,239.17,20,0,0,0,20,0,-4.17,0,25,0,20.83,25,-62.5,0,0,72.5,10,72.5,0,0,0,37.5,37.5,37.5,-46.67,0,25,110,88.33,135,20,20.83,10,37.5,26,58,2,33,77,2,13,18,2,12,16,2,1,4,2,21,33,2,52,466,224,50,25,765,74,690,52,123,28
131,davidh17,3,20,45.83,56.25,209.58,87.5,75,0,0,0,75,62.5,100,58.33,0,220.83,62.5,100,58.33,25,245.83,37.5,60,58.33,0,155.83,40,0,-100,20,-40,-80,0,0,-58.33,45.83,-12.5,-12.5,25,-25,0,56.25,56.25,31.25,25,0,12.5,12.5,25,50,90,-25,-145.83,134.58,53.75,-36.25,-40,-12.5,56.25,50,3,3,2,91,296,6,51,136,4,448,642,4,96,124,5,55,54,3,598,176,142,66,297,681,272,396,598,119,38
132,DianaNavarrete,3,20,62.5,25,145,37.5,37.5,20,58.33,0,115.83,37.5,60,50,0,147.5,50,20,58.33,0,128.33,37.5,0,62.5,0,100,20,40,-40,0,20,0,-4.17,-8.33,8.33,4.17,0,4.17,0,0,0,25,25,25,12.5,-12.5,0,0,-12.5,0,28.33,19.17,-31.67,29.17,45,16.67,20,0,25,0,0,0,0,54,65,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,,0,89,
133,jdmonroyg,3,0,25,25,75,25,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,25,25,25,12.5,-12.5,0,25,12.5,25,12.5,-12.5,0,75,75,62.5,0,25,25,25,0,0,0,7,96,3,0,0,0,0,0,0,0,0,4,0,0,0,0,5,38,4,2,49,45,2,0,,30
134,jorge52an,3,100,50,60,310,100,75,60,33.33,75,243.33,75,0,25,62.5,162.5,75,0,25,87.5,187.5,50,20,29.17,0,99.17,-20,0,60,40,80,100,-4.17,0,8.33,16.67,20.83,25,87.5,-25,12.5,-15,60,-27.5,25,0,0,25,25,50,88.33,-25,80.83,66.67,210.83,122.5,80,20.83,60,50,5,23,1,13,101,1,8,11,1,4,0,1,17,80,1,18,88,1,34,81,34,0,26,141,45,86,34,104,24
135,jscastelblancoh,3,100,83.33,100,358.33,75,75,100,66.67,75,316.67,75,60,33.33,62.5,230.83,75,60,41.67,87.5,264.17,50,60,29.17,62.5,201.67,0,0,40,0,40,40,12.5,-8.34,33.34,16.66,54.16,41.66,25,-25,12.5,25,37.5,12.5,25,0,0,0,0,25,62.5,-33.34,85.84,41.66,156.66,94.16,40,54.16,37.5,25,12,28,3,43,240,3,40,107,1,39,118,2,15,50,2,57,238,2,106,81,34,17,24,156,84,71,106,148,29
136,juclopezso,3,60,50,81.25,278.75,87.5,62.5,60,29.17,0,151.67,62.5,20,29.17,0,111.67,62.5,20,29.17,0,111.67,25,20,25,0,70,0,0,40,0,40,40,4.17,0,0,20.83,25,20.83,0,0,0,81.25,81.25,81.25,37.5,0,0,25,25,62.5,41.67,0,40,127.08,208.75,167.08,40,25,81.25,62.5,300,25,1,0,0,0,0,0,0,25,175,1,125,0,1,25,300,1,450,198,12,11,33,254,132,118,450,88,35
137,afforeroc,3,20,29.17,50,161.67,62.5,50,20,29.17,0,99.17,50,20,33.33,0,103.33,50,20,33.33,0,103.33,12.5,20,33.33,0,65.83,0,0,0,0,0,0,0,0,-4.16,0,-4.16,-4.16,0,0,0,50,50,50,37.5,0,0,12.5,12.5,50,37.5,0,-4.16,62.5,95.84,58.34,0,-4.16,50,50,10,132,5,0,0,0,0,0,0,0,0,0,0,0,0,14,111,3,10,0,0,0,0,0,,,10,96,
138,dagofonseca,3,40,37.5,66.67,231.67,87.5,87.5,40,37.5,100,265,50,40,37.5,100,227.5,50,40,25,75,190,12.5,20,25,0,57.5,20,0,0,0,20,0,0,12.5,0,0,12.5,12.5,75,25,0,-33.33,66.67,-8.33,37.5,0,37.5,0,37.5,75,132.5,37.5,37.5,-33.33,174.17,41.67,20,12.5,66.67,75,0,0,0,31,141,12,31,70,9,1,11,4,20,90,6,11,16,1,52,134,82,0,39,255,118,125,52,144,36
139,lacardenasv,3,100,75,75,350,100,87.5,60,37.5,75,260,87.5,60,54.17,75,264.17,62.5,60,54.17,87.5,264.17,62.5,20,29.17,75,186.67,40,0,0,40,80,40,25,0,-16.67,37.5,45.83,20.83,12.5,-12.5,0,0,0,-12.5,0,25,0,12.5,37.5,37.5,77.5,0,-4.17,90,163.33,85.83,80,45.83,0,37.5,21,13,2,41,111,6,2,51,3,61,294,5,38,54,2,30,108,5,122,272,388,52,126,838,298,527,122,164,37
140,oacastillol,3,60,62.5,37.5,235,75,62.5,0,33.33,25,120.83,62.5,0,33.33,25,120.83,62.5,0,29.17,25,116.67,0,0,29.17,62.5,91.67,0,0,0,60,60,60,0,4.16,0,29.17,33.33,33.33,-37.5,0,0,12.5,-25,12.5,62.5,0,0,12.5,12.5,75,25,4.16,0,114.17,143.33,118.33,60,33.33,-25,75,14,48,3,14,124,4,1,12,2,6,67,2,2,6,1,3,79,3,23,36,10,18,44,108,56,31,23,109,24
141,ncampuzano,3,20,45.83,50,203.33,87.5,62.5,20,37.5,25,145,62.5,0,29.17,25,116.67,50,20,29.17,25,124.17,0,0,29.17,62.5,91.67,20,-20,20,0,20,0,0,0,8.33,8.33,16.66,16.66,-37.5,0,0,25,-12.5,25,50,12.5,0,25,37.5,87.5,32.5,-7.5,28.33,58.33,111.66,79.16,20,16.66,-12.5,87.5,40,198,9,43,273,10,188,21,14,0,0,0,4,243,2,191,263,15,232,123,34,19,0,176,92,74,232,165,35
142,adriel62,3,80,66.67,67.5,301.67,87.5,87.5,40,33.33,50,210.83,75,20,33.33,62.5,190.83,87.5,20,33.33,62.5,203.33,25,20,33.33,25,103.33,0,0,20,40,60,60,0,0,0,33.34,33.34,33.34,37.5,0,-12.5,17.5,42.5,5,62.5,-12.5,12.5,0,0,62.5,100,-12.5,20,90.84,198.34,98.34,60,33.34,42.5,62.5,0,0,2,78,117,2,21,88,3,112,75,3,133,85,4,67,41,3,266,824,88,286,74,1272,506,729,266,116,38
143,capinzor,3,20,25,58.33,203.33,100,87.5,20,25,62.5,195,100,20,25,62.5,207.5,75,20,25,0,120,25,20,25,37.5,107.5,0,0,0,0,0,0,0,0,0,0,0,0,-37.5,62.5,0,-4.17,20.83,58.33,50,25,-12.5,12.5,25,75,12.5,87.5,-12.5,8.33,95.83,83.33,0,0,20.83,75,88,172,2,7,59,4,135,149,1,83,54,1,7,59,4,16,15,2,313,114,63,44,20,241,125,107,313,120,37
144,ofnanezn,3,40,58.33,25,198.33,75,50,20,33.33,25,128.33,50,40,33.33,25,148.33,50,20,37.5,25,132.5,12.5,0,0,0,12.5,20,20,-20,20,40,20,37.5,-4.17,0,25,58.33,20.83,25,0,0,0,25,0,37.5,0,0,25,25,62.5,120,15.83,-20,70,185.83,65.83,40,58.33,25,62.5,8,1,2,22,7,2,14,6,2,0,0,0,0,0,0,14,6,2,22,29,0,0,0,29,13,16,22,109,11
145,macuestap,3,40,50,25,177.5,62.5,62.5,20,41.67,25,149.17,62.5,20,37.5,25,145,62.5,20,37.5,25,145,100,0,25,43.75,168.75,20,0,0,20,40,20,12.5,0,4.17,8.33,25,12.5,-18.75,0,0,0,-18.75,0,-37.5,0,0,0,0,-37.5,-23.75,0,4.17,28.33,8.75,32.5,40,25,-18.75,-37.5,0,0,5,0,0,5,8,6,2,1,7,1,0,0,0,9,13,2,9,90,0,52,0,142,88,49,9,150,33
146,spenas,3,20,33.33,0,115.83,62.5,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,50,20,58.33,0,128.33,0,0,0,0,0,0,-25,0,0,0,-25,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,-12.5,0,0,0,-12.5,0,0,-25,0,12.5,83,59,5,83,59,5,0,0,0,0,0,0,0,0,0,0,0,0,83,147,9,15,10,181,80,99,83,110,30
147,kgbayala528,3,80,50,81.25,298.75,87.5,62.5,60,45.83,75,243.33,62.5,60,54.17,75,251.67,50,40,33.33,0,123.33,50,20,37.5,0,107.5,20,20,0,20,60,40,-4.17,20.84,-8.34,4.17,12.5,16.67,0,75,0,6.25,81.25,81.25,0,12.5,0,25,37.5,37.5,15.83,128.34,-8.34,55.42,191.25,175.42,60,12.5,81.25,37.5,37,67,2,41,151,2,8,88,2,0,0,0,0,0,0,8,88,2,45,75,1,0,0,76,19,55,45,121,14
148,lgmoralesa,3,100,70.83,87.5,345.83,87.5,87.5,100,66.67,83.33,337.5,87.5,60,75,87.5,310,87.5,60,58.33,62.5,268.33,62.5,20,29.17,25,136.67,40,0,40,0,80,40,29.16,16.67,-8.33,4.16,41.66,12.5,37.5,25,-4.17,4.17,62.5,25,25,0,0,0,0,25,131.66,41.67,27.5,8.33,209.16,77.5,80,41.66,62.5,25,34,30,5,100,97,5,26,48,2,14,34,2,65,24,2,88,89,2,139,296,163,88,102,649,373,240,139,195,38
149,ronaldsg20,3,20,45.83,12.5,178.33,100,100,20,33.33,12.5,165.83,87.5,20,25,25,157.5,87.5,20,29.17,25,161.67,87.5,20,29.17,45.83,182.5,0,0,0,0,0,0,0,-4.17,8.33,12.5,16.66,16.66,-20.83,0,-12.5,0,-33.33,-12.5,0,0,12.5,0,12.5,12.5,-20.83,-4.17,8.33,12.5,-4.17,16.66,0,16.66,-33.33,12.5,0,0,0,27,70,8,20,91,6,37,70,11,3,0,2,27,70,8,60,24,58,9,12,103,28,62,60,132,18
150,cccristanchoc,3,20,33.33,56.25,197.08,87.5,62.5,20,33.33,0,115.83,50,20,33.33,0,103.33,50,20,33.33,0,103.33,25,20,29.17,0,74.17,0,0,0,0,0,0,4.16,0,0,0,4.16,0,0,0,0,56.25,56.25,56.25,25,0,12.5,25,37.5,62.5,29.16,0,12.5,81.25,122.91,93.75,0,4.16,56.25,62.5,0,0,0,99,182,3,0,0,0,0,0,0,16,15,2,2,38,5,16,192,18,38,48,296,85,198,16,111,32
151,jmalvarezd,3,80,75,93.75,348.75,100,87.5,60,70.83,0,218.33,87.5,100,87.5,0,275,87.5,40,45.83,25,198.33,62.5,100,79.17,87.5,329.17,-60,60,-40,20,-20,40,-33.34,41.67,-16.67,4.17,-4.17,29.17,-62.5,-25,0,93.75,6.25,68.75,25,0,0,12.5,12.5,37.5,-130.84,76.67,-56.67,130.42,19.58,150.42,-20,-4.17,6.25,37.5,55,85,2,62,110,3,5,10,2,0,0,0,11,24,2,16,34,3,71,271,58,18,0,347,4,343,71,96,3
152,smarquezo,3,20,33.33,57.5,185.83,75,62.5,20,29.17,0,111.67,62.5,20,29.17,0,111.67,62.5,20,29.17,0,111.67,50,20,29.17,0,99.17,0,0,0,0,0,0,0,0,0,4.16,4.16,4.16,0,0,0,57.5,57.5,57.5,12.5,0,0,12.5,12.5,25,12.5,0,0,74.16,86.66,74.16,0,4.16,57.5,25,5,74,1,27,610,1,0,0,0,94,263,1,26,371,1,94,608,1,125,206,35,66,177,484,354,92,125,81,38
153,sarizag,3,20,33.33,56.25,209.58,100,75,20,33.33,62.5,190.83,75,20,33.33,0,128.33,87.5,20,33.33,0,140.83,50,20,25,12.5,107.5,0,0,0,0,0,0,8.33,0,0,0,8.33,0,-12.5,0,62.5,-6.25,43.75,56.25,37.5,-12.5,0,25,12.5,50,33.33,-12.5,62.5,18.75,102.08,68.75,0,8.33,43.75,50,15,56,2,23,100,3,0,0,0,12,870,1,858,36,3,19,55,3,885,34,0,6,0,40,,40,885,103,
154,Chranium,3,20,25,0,95,50,50,20,25,0,95,50,20,25,0,95,62.5,20,25,0,107.5,0,20,25,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,-12.5,0,0,-12.5,50,62.5,-12.5,0,0,50,-12.5,0,0,0,50,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,84,0,0,7,91,48,40,1,85,29
155,DavidQP,3,80,70.83,83.33,284.17,50,50,80,66.67,75,271.67,50,20,54.17,0,124.17,50,20,50,0,120,37.5,20,54.17,0,111.67,0,0,60,0,60,60,-4.17,4.17,12.5,4.16,16.66,20.83,0,0,75,8.33,83.33,83.33,12.5,0,0,0,0,12.5,8.33,4.17,147.5,12.5,172.5,164.17,60,16.66,83.33,12.5,146,259,3,8,10,3,53,49,2,1,4,2,4,17,2,28,44,2,204,94,0,0,33,127,56,69,204,122,29
156,afceballosr,3,80,45.83,57.5,270.83,87.5,87.5,40,50,87.5,265,50,20,33.33,0,103.33,50,20,33.33,0,103.33,50,20,25,25,120,0,0,20,40,60,60,8.33,0,16.67,-4.17,20.83,12.5,-25,0,87.5,-30,32.5,57.5,0,0,37.5,0,37.5,37.5,-16.67,0,161.67,5.83,150.83,167.5,60,20.83,32.5,37.5,25,203,20,11,22,4,8,23,2,70,24,3,6,11,2,0,0,0,109,138,85,42,102,367,160,202,109,118,37
157,lizzyt10h,3,20,54.17,81.25,255.42,100,100,0,29.17,16.67,145.83,87.5,0,33.33,25,145.83,75,0,0,0,75,100,0,29.17,25,154.17,0,0,0,20,20,20,-29.17,33.33,-4.16,25,25,54.17,-25,25,-8.33,64.58,56.25,81.25,-25,12.5,12.5,0,25,0,-79.17,70.83,0,109.59,101.25,180.42,20,25,56.25,0,13,11,4,22,21,5,0,0,3,31,53,4,29,66,2,17,18,6,73,49,85,17,53,204,17,183,73,128,10
158,NicolasPrr,3,100,83.33,90,360.83,87.5,62.5,0,33.33,25,120.83,50,0,33.33,25,108.33,50,0,25,25,100,62.5,0,25,25,112.5,0,0,0,100,100,100,0,8.33,0,50,58.33,58.33,0,0,0,65,65,65,-12.5,0,12.5,25,37.5,25,-12.5,8.33,12.5,240,248.33,260.83,100,58.33,65,25,0,0,0,41,49,5,0,0,0,106,285,4,2,4,4,41,49,5,108,499,447,442,438,1826,821,978,108,119,38
159,jumcorredorro,3,100,62.5,75,325,87.5,87.5,80,58.33,79.17,305,87.5,80,75,87.5,330,87.5,80,54.17,87.5,309.17,62.5,40,33.33,50,185.83,40,0,0,20,60,20,20.84,20.83,-16.67,4.17,29.17,8.33,37.5,0,-8.33,-4.17,25,-12.5,25,0,0,0,0,25,123.34,20.83,-25,20,139.17,15.83,60,29.17,25,25,0,0,0,29,35,1,29,34,1,1,0,1,2,2,1,29,35,1,32,178,9,0,3,190,48,140,32,205,21
160,feartheGru,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5,0,0,-12.5,-12.5,0,-12.5,0,0,-12.5,-12.5,0,0,0,-12.5,6,79,2,0,0,0,0,0,0,0,0,0,0,0,0,6,234,2,6,0,0,0,0,0,,,6,,
161,Danielsv9207,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.5,-12.5,0,0,-12.5,-50,-37.5,-12.5,0,0,-50,-12.5,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,,2,0,,
162,JhonEmmanuelTorres,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-12.5,0,0,-12.5,0,12.5,-12.5,0,0,0,-12.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,65,
163,janoguerab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,,0,10,2