,Unnamed: 0,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,total,user-requirement,infovis,novelty_score,exploration,Group,len_unique,added_sum
0,1,wilson911013,1,0.0,3,250.84,wilson911013,0.0,1.0,2.0,1.0,1.0,90.83,20.0,33.33,0.0,0.0,3.0,0.0,0.0
2,5,lizzyt10h,1,0.4,3,175.0,lizzyt10h,2.0,1.0,5.0,2.0,7.0,75.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
3,6,AFelipeGA,1,0.4,3,291.67,AFelipeGA,4.0,3.0,5.0,2.0,3.0,152.5,40.0,37.5,0.0,0.0,3.0,4.0,0.0
4,7,wapiravaguens,1,0.4,3,90.0,wapiravaguens,0.0,1.0,4.0,2.0,1.0,192.5,80.0,50.0,0.0,0.0,3.0,4.0,0.0
5,8,capinzor,1,0.413793103448276,3,221.67,capinzor,0.0,0.0,2.0,2.0,0.0,120.0,20.0,25.0,0.0,0.0,3.0,20.0,0.0
6,9,lacardenasv,1,0.424657534246575,3,142.5,lacardenasv,1.0,2.0,5.0,4.0,2.0,264.17,60.0,54.17,87.5,0.7586206896551720,3.0,57.0,43.0
7,10,ncampuzano,1,0.428571428571429,3,237.5,ncampuzano,1.0,3.0,4.0,2.0,13.0,124.17,20.0,29.17,25.0,0.0714285714285714,3.0,41.0,2.0
8,11,afforeroc,1,0.428571428571429,3,263.34,afforeroc,1.0,4.0,3.0,2.0,0.0,103.33,20.0,33.33,0.0,0.0,3.0,7.0,0.0
9,12,adriel62,1,0.431372549019608,3,225.84,adriel62,1.0,3.0,5.0,2.0,2.0,203.33,20.0,33.33,62.5,0.75,3.0,40.0,30.0
10,13,spenas,1,0.444444444444444,3,200.84,spenas,5.0,4.0,6.0,1.0,1.0,115.83,20.0,33.33,0.0,0.8518518518518520,3.0,22.0,18.0
11,14,Chranium,1,0.5,3,284.17,Chranium,4.0,5.0,6.0,2.0,0.0,107.5,20.0,25.0,0.0,0.0,3.0,5.0,0.0
12,15,macuestap,1,0.545454545454545,3,160.42,macuestap,0.0,1.0,4.0,1.0,3.0,145.0,20.0,37.5,25.0,0.75,3.0,16.0,8.0
13,16,ofnanezn,1,0.590909090909091,3,316.67,ofnanezn,0.0,1.0,6.0,2.0,1.0,132.5,20.0,37.5,25.0,0.6,3.0,15.0,9.0
14,17,dagofonseca,1,0.592592592592593,3,271.67,dagofonseca,0.0,0.0,2.0,2.0,1.0,190.0,40.0,25.0,75.0,0.26086956521739100,3.0,19.0,2.0
15,18,davidh17,1,0.616438356164384,3,173.34,davidh17,3.0,3.0,5.0,3.0,0.0,245.83,100.0,58.33,25.0,0.627906976744186,3.0,43.0,27.0
16,19,DianaNavarrete,1,0.625,3,229.17,DianaNavarrete,0.0,1.0,5.0,2.0,1.0,128.33,20.0,58.33,0.0,0.5555555555555560,3.0,7.0,3.0
17,20,jumcorredorro,1,0.625,3,143.34,jumcorredorro,1.0,1.0,5.0,2.0,2.0,309.17,80.0,54.17,87.5,0.15384615384615400,3.0,39.0,6.0
18,21,lgmoralesa,1,0.630434782608696,3,192.5,lgmoralesa,2.0,2.0,4.0,3.0,5.0,268.33,60.0,58.33,62.5,0.4666666666666670,3.0,43.0,19.0
19,22,dduartec,1,0.666666666666667,3,287.5,dduartec,1.0,5.0,4.0,1.0,1.0,333.33,100.0,70.83,75.0,0.5128205128205130,3.0,39.0,20.0
20,23,smarquezo,1,0.666666666666667,3,230.0,smarquezo,0.0,0.0,2.0,0.0,1.0,111.67,20.0,29.17,0.0,0.5,3.0,4.0,2.0
21,24,juclopezso,1,0.666666666666667,3,259.17,juclopezso,1.0,3.0,3.0,2.0,1.0,111.67,20.0,29.17,0.0,0.8387096774193550,3.0,6.0,1.0
22,25,jmalvarezd,1,0.696428571428571,3,0.0,jmalvarezd,3.0,3.0,5.0,2.0,1.0,198.33,40.0,45.83,25.0,0.41509433962264200,3.0,52.0,21.0
23,26,lemartinp,1,0.708333333333333,3,270.84,lemartinp,0.0,0.0,4.0,1.0,2.0,131.67,40.0,29.17,0.0,0.4666666666666670,3.0,15.0,7.0
24,27,sarizag,1,0.710526315789474,3,221.67,sarizag,4.0,3.0,6.0,2.0,1.0,140.83,20.0,33.33,0.0,0.43333333333333300,3.0,29.0,12.0
25,28,afceballosr,1,0.719298245614035,3,209.17,afceballosr,1.0,3.0,5.0,2.0,1.0,103.33,20.0,33.33,0.0,0.6041666666666670,3.0,40.0,21.0
26,29,ronaldsg20,1,0.733333333333333,3,146.67,ronaldsg20,0.0,3.0,5.0,2.0,0.0,161.67,20.0,29.17,25.0,0.0,3.0,20.0,0.0
27,30,nfmorenog,1,0.745098039215686,3,225.0,nfmorenog,0.0,2.0,3.0,1.0,1.0,133.33,0.0,33.33,25.0,0.6590909090909090,3.0,43.0,28.0
28,31,NicolasPrr,1,0.75,3,216.67,NicolasPrr,3.0,4.0,3.0,2.0,0.0,100.0,0.0,25.0,25.0,0.0,3.0,20.0,0.0
29,32,DavidQP,1,0.75,3,217.5,DavidQP,2.0,3.0,4.0,3.0,1.0,120.0,20.0,50.0,0.0,0.9453125,3.0,13.0,6.0
30,33,oacastillol,1,0.769230769230769,3,237.5,oacastillol,2.0,1.0,5.0,1.0,1.0,116.67,0.0,29.17,25.0,0.5185185185185190,3.0,80.0,41.0
31,34,jscastelblancoh,1,0.80952380952381,3,127.5,jscastelblancoh,0.0,0.0,3.0,2.0,0.0,264.17,60.0,41.67,87.5,0.3529411764705880,3.0,34.0,12.0
32,35,kgbayala528,1,0.848214285714286,3,221.67,kgbayala528,1.0,5.0,6.0,2.0,1.0,123.33,40.0,33.33,0.0,0.0,3.0,96.0,0.0
33,36,cccristanchoc,1,0.866666666666667,3,255.0,cccristanchoc,1.0,1.0,4.0,1.0,1.0,103.33,20.0,33.33,0.0,0.2222222222222220,3.0,9.0,2.0
34,37,srmedinac,1,0.878378378378378,3,304.17,srmedinac,1.0,2.0,4.0,1.0,1.0,115.83,20.0,33.33,0.0,0.9351851851851850,3.0,57.0,50.0
35,38,jorge52an,1,0.925925925925926,3,230.0,jorge52an,4.0,4.0,5.0,2.0,0.0,187.5,0.0,25.0,87.5,0.8103448275862070,3.0,55.0,44.0
36,39,juligarji,1,0.942675159235669,3,167.5,juligarji,4.0,4.0,5.0,3.0,3.0,242.08,40.0,45.83,68.75,0.9051094890510950,3.0,134.0,121.0
37,40,mballeng91,1,0.968911917098446,3,329.17,mballeng91,2.0,6.0,6.0,2.0,1.0,100.0,0.0,25.0,25.0,0.06818181818181820,3.0,175.0,11.0
38,43,wilson911013,2,0.0,3,242.5,wilson911013,0.0,1.0,2.0,1.0,1.0,90.83,20.0,33.33,0.0,0.0,3.0,0.0,0.0
40,46,capinzor,2,0.391891891891892,3,213.33,capinzor,0.0,0.0,2.0,2.0,1.0,207.5,20.0,25.0,62.5,0.6774193548387100,3.0,62.0,42.0
41,47,wapiravaguens,2,0.4,3,140.83,wapiravaguens,0.0,1.0,4.0,2.0,1.0,192.5,80.0,50.0,0.0,0.0,3.0,4.0,0.0
42,48,AFelipeGA,2,0.4,3,180.83,AFelipeGA,4.0,3.0,5.0,2.0,0.0,152.5,40.0,37.5,0.0,0.0,3.0,4.0,0.0
43,49,afforeroc,2,0.428571428571429,3,230.0,afforeroc,1.0,4.0,3.0,2.0,0.0,103.33,20.0,33.33,0.0,0.0,3.0,7.0,0.0
44,50,adriel62,2,0.442307692307692,3,130.0,adriel62,1.0,3.0,5.0,2.0,2.0,190.83,20.0,33.33,62.5,0.0,3.0,40.0,0.0
45,51,ncampuzano,2,0.442307692307692,3,209.16,ncampuzano,1.0,3.0,4.0,2.0,8.0,116.67,0.0,29.17,25.0,0.0,3.0,41.0,0.0
46,52,spenas,2,0.444444444444444,3,217.5,spenas,5.0,4.0,6.0,1.0,0.0,115.83,20.0,33.33,0.0,0.0,3.0,22.0,0.0
47,53,lizzyt10h,2,0.5,3,258.33,lizzyt10h,2.0,1.0,5.0,2.0,3.0,145.83,0.0,33.33,25.0,0.6363636363636360,3.0,11.0,7.0
48,54,Chranium,2,0.5,3,225.83,Chranium,4.0,5.0,6.0,2.0,0.0,95.0,20.0,25.0,0.0,0.0,3.0,5.0,0.0
49,55,lacardenasv,2,0.605263157894737,3,69.16,lacardenasv,1.0,2.0,5.0,4.0,11.0,264.17,60.0,54.17,75.0,0.4576271186440680,3.0,34.0,2.0
50,56,DianaNavarrete,2,0.625,3,205.0,DianaNavarrete,0.0,1.0,5.0,2.0,0.0,147.5,60.0,50.0,0.0,0.0,3.0,7.0,0.0
51,57,smarquezo,2,0.666666666666667,3,221.66,smarquezo,0.0,0.0,2.0,0.0,1.0,111.67,20.0,29.17,0.0,0.0,3.0,4.0,0.0
52,58,sarizag,2,0.676470588235294,3,192.5,sarizag,4.0,3.0,6.0,2.0,1.0,128.33,20.0,33.33,0.0,0.0,3.0,29.0,0.0
53,59,macuestap,2,0.676470588235294,3,188.33,macuestap,0.0,1.0,4.0,1.0,1.0,145.0,20.0,37.5,25.0,0.0,3.0,16.0,0.0
54,60,jmalvarezd,2,0.686274509803922,3,135.0,jmalvarezd,3.0,3.0,5.0,2.0,2.0,275.0,100.0,87.5,0.0,0.03703703703703710,3.0,54.0,2.0
55,61,cccristanchoc,2,0.692307692307692,3,230.0,cccristanchoc,1.0,1.0,4.0,1.0,1.0,103.33,20.0,33.33,0.0,0.6428571428571430,3.0,10.0,5.0
56,62,juclopezso,2,0.7,3,221.66,juclopezso,1.0,3.0,3.0,2.0,1.0,111.67,20.0,29.17,0.0,0.0,3.0,6.0,0.0
57,63,DavidQP,2,0.72,3,213.33,DavidQP,2.0,3.0,4.0,3.0,1.0,124.17,20.0,54.17,0.0,0.33333333333333300,3.0,17.0,5.0
58,64,lgmoralesa,2,0.725806451612903,3,65.0,lgmoralesa,2.0,2.0,4.0,3.0,3.0,310.0,60.0,75.0,87.5,0.27118644067796600,3.0,59.0,16.0
59,65,ofnanezn,2,0.727272727272727,3,200.83,ofnanezn,0.0,1.0,6.0,2.0,1.0,148.33,40.0,33.33,25.0,0.0,3.0,15.0,0.0
60,66,davidh17,2,0.7375,3,87.5,davidh17,3.0,3.0,5.0,3.0,0.0,220.83,100.0,58.33,0.0,0.359375,3.0,62.0,21.0
61,67,nfmorenog,2,0.746987951807229,3,200.0,nfmorenog,0.0,2.0,3.0,1.0,2.0,133.33,0.0,33.33,25.0,0.17307692307692300,3.0,52.0,9.0
62,68,lemartinp,2,0.76,3,201.66,lemartinp,0.0,0.0,4.0,1.0,1.0,136.67,20.0,54.17,0.0,0.0,3.0,15.0,0.0
63,69,afceballosr,2,0.761194029850746,3,230.0,afceballosr,1.0,3.0,5.0,2.0,3.0,103.33,20.0,33.33,0.0,0.09090909090909090,3.0,44.0,4.0
64,70,NicolasPrr,2,0.772727272727273,3,233.33,NicolasPrr,3.0,4.0,3.0,2.0,1.0,108.33,0.0,33.33,25.0,0.0,3.0,20.0,0.0
65,71,oacastillol,2,0.774834437086093,3,216.66,oacastillol,2.0,1.0,5.0,1.0,2.0,120.83,0.0,33.33,25.0,0.47857142857142900,3.0,133.0,60.0
66,72,ronaldsg20,2,0.793103448275862,3,171.66,ronaldsg20,0.0,3.0,5.0,2.0,3.0,157.5,20.0,25.0,25.0,0.5121951219512200,3.0,41.0,21.0
67,73,kgbayala528,2,0.8203125,3,210.0,kgbayala528,1.0,5.0,6.0,2.0,1.0,251.67,60.0,54.17,75.0,0.11111111111111100,3.0,108.0,12.0
68,74,jumcorredorro,2,0.820512820512821,3,24.16,jumcorredorro,1.0,1.0,5.0,2.0,3.0,330.0,80.0,75.0,87.5,0.6464646464646460,3.0,95.0,60.0
69,75,jscastelblancoh,2,0.838709677419355,3,69.16,jscastelblancoh,0.0,0.0,3.0,2.0,9.0,230.83,60.0,33.33,62.5,0.5471698113207550,3.0,43.0,19.0
70,76,dduartec,2,0.857142857142857,3,0.0,dduartec,1.0,5.0,4.0,1.0,2.0,305.0,80.0,62.5,75.0,0.6285714285714290,3.0,105.0,66.0
71,77,srmedinac,2,0.890243902439024,3,217.5,srmedinac,1.0,2.0,4.0,1.0,1.0,115.83,20.0,33.33,0.0,0.0,3.0,57.0,0.0
72,78,dagofonseca,2,0.917562724014337,3,143.33,dagofonseca,0.0,0.0,2.0,2.0,2.0,227.5,40.0,37.5,100.0,0.9282868525896410,3.0,250.0,232.0
73,79,jorge52an,2,0.965317919075145,3,145.83,jorge52an,4.0,4.0,5.0,2.0,3.0,162.5,0.0,25.0,62.5,0.678082191780822,3.0,138.0,91.0
74,80,mballeng91,2,0.984375,3,233.33,mballeng91,2.0,6.0,6.0,2.0,1.0,100.0,0.0,25.0,25.0,0.0,3.0,175.0,0.0
75,81,juligarji,2,0.992436305732484,3,91.25,juligarji,4.0,4.0,5.0,3.0,14.0,203.33,20.0,33.33,62.5,0.9576069730586370,3.0,2497.0,2390.0
77,86,wapiravaguens,3,0.4,3,137.5,wapiravaguens,0.0,1.0,4.0,2.0,1.0,217.5,80.0,75.0,0.0,0.0,3.0,4.0,0.0
78,87,AFelipeGA,3,0.4,3,177.5,AFelipeGA,4.0,3.0,5.0,2.0,0.0,152.5,40.0,37.5,0.0,0.0,3.0,4.0,0.0
79,88,afforeroc,3,0.428571428571429,3,226.67,afforeroc,1.0,4.0,3.0,2.0,0.0,99.17,20.0,29.17,0.0,0.0,3.0,7.0,0.0
80,89,Chranium,3,0.5,3,235.0,Chranium,4.0,5.0,6.0,2.0,0.0,95.0,20.0,25.0,0.0,0.0,3.0,5.0,0.0
81,90,lizzyt10h,3,0.5,3,184.17,lizzyt10h,2.0,1.0,5.0,2.0,2.0,145.83,0.0,29.17,16.67,0.0,3.0,11.0,0.0
82,91,DianaNavarrete,3,0.625,3,182.5,DianaNavarrete,0.0,1.0,5.0,2.0,0.0,115.83,20.0,58.33,0.0,0.0,3.0,7.0,0.0
83,92,ncampuzano,3,0.652631578947369,3,213.33,ncampuzano,1.0,3.0,4.0,2.0,4.0,145.0,20.0,37.5,25.0,0.49295774647887300,3.0,66.0,30.0
84,93,NicolasPrr,3,0.657018813314038,3,221.67,NicolasPrr,3.0,4.0,3.0,2.0,3.0,120.83,0.0,33.33,25.0,0.9705014749262540,3.0,678.0,658.0
85,94,macuestap,3,0.666666666666667,3,185.0,macuestap,0.0,1.0,4.0,1.0,1.0,149.17,20.0,41.67,25.0,0.05882352941176470,3.0,17.0,1.0
86,95,lgmoralesa,3,0.679611650485437,3,20.0,lgmoralesa,2.0,2.0,4.0,3.0,3.0,337.5,100.0,66.67,83.33,0.20270270270270300,3.0,74.0,15.0
87,96,sarizag,3,0.694444444444444,3,201.67,sarizag,4.0,3.0,6.0,2.0,1.0,190.83,20.0,33.33,62.5,0.06451612903225810,3.0,31.0,2.0
88,97,lacardenasv,3,0.7,3,65.83,lacardenasv,1.0,2.0,5.0,4.0,11.0,260.0,60.0,37.5,75.0,0.6521739130434780,3.0,90.0,58.0
89,98,smarquezo,3,0.714285714285714,3,218.33,smarquezo,0.0,0.0,2.0,0.0,1.0,111.67,20.0,29.17,0.0,0.9130434782608700,3.0,21.0,19.0
90,99,jmalvarezd,3,0.716216216216216,3,55.0,jmalvarezd,3.0,3.0,5.0,2.0,1.0,218.33,60.0,70.83,0.0,0.0,3.0,54.0,0.0
91,100,lemartinp,3,0.735294117647059,3,193.33,lemartinp,0.0,0.0,4.0,1.0,1.0,300.83,80.0,58.33,75.0,0.42307692307692300,3.0,26.0,11.0
92,101,nfmorenog,3,0.752941176470588,3,196.67,nfmorenog,0.0,2.0,3.0,1.0,1.0,120.83,0.0,33.33,12.5,0.0,3.0,52.0,0.0
93,102,spenas,3,0.753846153846154,3,214.17,spenas,5.0,4.0,6.0,1.0,0.0,115.83,20.0,33.33,0.0,0.0,3.0,22.0,0.0
94,103,afceballosr,3,0.777777777777778,3,226.67,afceballosr,1.0,3.0,5.0,2.0,0.0,265.0,40.0,50.0,87.5,0.543859649122807,3.0,39.0,13.0
95,104,oacastillol,3,0.784810126582278,3,209.17,oacastillol,2.0,1.0,5.0,1.0,2.0,120.83,0.0,33.33,25.0,0.036231884057971100,3.0,138.0,5.0
96,105,davidh17,3,0.785046728971963,3,109.17,davidh17,3.0,3.0,5.0,3.0,0.0,75.0,0.0,0.0,0.0,0.3936170212765960,3.0,89.0,32.0
97,106,cccristanchoc,3,0.80952380952381,3,226.67,cccristanchoc,1.0,1.0,4.0,1.0,1.0,115.83,20.0,33.33,0.0,0.5263157894736840,3.0,18.0,9.0
98,107,juclopezso,3,0.810344827586207,3,218.33,juclopezso,1.0,3.0,3.0,2.0,1.0,151.67,60.0,29.17,0.0,0.8333333333333330,3.0,29.0,24.0
99,108,ofnanezn,3,0.813953488372093,3,181.67,ofnanezn,0.0,1.0,6.0,2.0,0.0,128.33,20.0,33.33,25.0,0.6,3.0,34.0,20.0
100,109,kgbayala528,3,0.823529411764706,3,78.33,kgbayala528,1.0,5.0,6.0,2.0,0.0,243.33,60.0,45.83,75.0,0.0,3.0,108.0,0.0
101,110,srmedinac,3,0.862068965517241,3,214.17,srmedinac,1.0,2.0,4.0,1.0,1.0,115.83,20.0,33.33,0.0,0.01754385964912290,3.0,56.0,0.0
102,111,DavidQP,3,0.863636363636364,3,205.83,DavidQP,2.0,3.0,4.0,3.0,1.0,271.67,80.0,66.67,75.0,0.7611940298507460,3.0,66.0,50.0
103,112,dduartec,3,0.864285714285714,3,25.0,dduartec,1.0,5.0,4.0,1.0,0.0,87.5,0.0,0.0,0.0,0.0,3.0,105.0,0.0
104,113,ronaldsg20,3,0.87603305785124,3,172.5,ronaldsg20,0.0,3.0,5.0,2.0,2.0,165.83,20.0,33.33,12.5,0.6168224299065420,3.0,107.0,66.0
105,114,wilson911013,3,0.888888888888889,3,239.17,wilson911013,0.0,1.0,2.0,1.0,1.0,82.5,20.0,25.0,0.0,1.0,3.0,3.0,3.0
106,115,jumcorredorro,3,0.893203883495146,3,0.0,jumcorredorro,1.0,1.0,5.0,2.0,1.0,305.0,80.0,58.33,79.17,0.4556213017751480,3.0,166.0,74.0
107,116,dagofonseca,3,0.912587412587413,3,102.5,dagofonseca,0.0,0.0,2.0,2.0,1.0,265.0,40.0,37.5,100.0,0.027237354085603100,3.0,257.0,7.0
108,117,jscastelblancoh,3,0.913636363636364,3,99.17,jscastelblancoh,0.0,0.0,3.0,2.0,13.0,316.67,100.0,66.67,75.0,0.770949720670391,3.0,177.0,136.0
109,118,jorge52an,3,0.955922865013774,3,167.5,jorge52an,4.0,4.0,5.0,2.0,8.0,243.33,60.0,33.33,75.0,0.5498281786941580,3.0,284.0,153.0
110,119,capinzor,3,0.96991946944576,3,122.5,capinzor,0.0,0.0,2.0,2.0,1.0,195.0,20.0,25.0,62.5,0.9676375404530750,3.0,1852.0,1792.0
111,120,adriel62,3,0.976890469027759,3,139.17,adriel62,1.0,3.0,5.0,2.0,9.0,210.83,40.0,33.33,50.0,0.9964050329538650,3.0,4985.0,4967.0
112,121,mballeng91,3,0.981481481481482,3,230.0,mballeng91,2.0,6.0,6.0,2.0,1.0,112.5,0.0,25.0,25.0,0.033333333333333300,3.0,179.0,5.0
113,122,juligarji,3,0.988493347716649,3,126.67,juligarji,4.0,4.0,5.0,3.0,7.0,358.33,100.0,70.83,87.5,0.03495145631067960,3.0,2563.0,78.0
114,126,wapiravaguens,4,0.4,3,140.83,wapiravaguens,0.0,1.0,4.0,2.0,1.0,327.5,80.0,75.0,72.5,0.0,3.0,4.0,0.0
115,127,AFelipeGA,4,0.4,3,205.83,AFelipeGA,4.0,3.0,5.0,2.0,0.0,221.25,40.0,37.5,56.25,0.0,3.0,4.0,0.0
116,128,afforeroc,4,0.428571428571429,3,259.16,afforeroc,1.0,4.0,3.0,2.0,0.0,161.67,20.0,29.17,50.0,0.0,3.0,7.0,0.0
117,129,Chranium,4,0.5,3,263.33,Chranium,4.0,5.0,6.0,2.0,0.0,95.0,20.0,25.0,0.0,0.0,3.0,5.0,0.0
118,130,smarquezo,4,0.5,3,246.66,smarquezo,0.0,0.0,2.0,0.0,1.0,185.83,20.0,33.33,57.5,0.671875,3.0,64.0,43.0
119,131,lizzyt10h,4,0.5,3,212.5,lizzyt10h,2.0,1.0,5.0,2.0,5.0,255.42,20.0,54.17,81.25,0.0,3.0,11.0,0.0
121,133,DianaNavarrete,4,0.625,3,242.5,DianaNavarrete,0.0,1.0,5.0,2.0,0.0,145.0,20.0,62.5,25.0,0.0,3.0,7.0,0.0
122,134,dagofonseca,4,0.650071123755334,3,93.33,dagofonseca,0.0,0.0,2.0,2.0,2.0,231.67,40.0,37.5,66.67,0.05166051660516600,3.0,271.0,14.0
123,135,macuestap,4,0.666666666666667,3,209.16,macuestap,0.0,1.0,4.0,1.0,0.0,177.5,40.0,50.0,25.0,0.0,3.0,17.0,0.0
124,136,jmalvarezd,4,0.75,3,140.0,jmalvarezd,3.0,3.0,5.0,2.0,2.0,348.75,80.0,75.0,93.75,0.054545454545454600,3.0,53.0,1.0
125,137,nfmorenog,4,0.752941176470588,3,237.5,nfmorenog,0.0,2.0,3.0,1.0,0.0,127.5,0.0,37.5,15.0,0.0,3.0,52.0,0.0
126,138,sarizag,4,0.760869565217391,3,167.5,sarizag,4.0,3.0,6.0,2.0,2.0,209.58,20.0,33.33,56.25,0.22500000000000000,3.0,40.0,9.0
127,139,lemartinp,4,0.787234042553192,3,57.5,lemartinp,0.0,0.0,4.0,1.0,1.0,329.17,100.0,54.17,87.5,0.0,3.0,26.0,0.0
